货架编号,货架(y),层(z),列(x),深浅位,原材料编号,箱子类型,消耗占比,距离(x+z),物理距离(mm),库位编号
07,7,2,1,深位,B6T0000001727,E1,1.2092,3,700.0,07_02_01_02
08,8,2,1,浅位,B6T0000001727,E1,1.2092,3,700.0,08_02_01_01
08,8,2,1,深位,B6T0000001727,E1,1.2092,3,700.0,08_02_01_02
09,9,2,1,浅位,B6T0000001727,E1,1.2092,3,700.0,09_02_01_01
09,9,2,1,深位,B6T0000001727,E1,1.2092,3,700.0,09_02_01_02
10,10,2,1,浅位,B6T0000001727,E1,1.2092,3,700.0,10_02_01_01
10,10,2,1,深位,B6T0000001727,E1,1.2092,3,700.0,10_02_01_02
11,11,2,1,浅位,B6T0000001727,E1,1.2092,3,700.0,11_02_01_01
11,11,2,1,深位,B6T0000001727,E1,1.2092,3,700.0,11_02_01_02
12,12,2,1,浅位,B6T0000001727,E1,1.2092,3,700.0,12_02_01_01
12,12,2,1,深位,B6T0000001727,E1,1.2092,3,700.0,12_02_01_02
13,13,2,1,浅位,B6T0000001727,E1,1.2092,3,700.0,13_02_01_01
13,13,2,1,深位,B6T0000001727,E1,1.2092,3,700.0,13_02_01_02
14,14,2,1,浅位,B6T0000001912,E1,1.1087,3,700.0,14_02_01_01
14,14,2,1,深位,B6T0000001912,E1,1.1087,3,700.0,14_02_01_02
01,1,1,2,浅位,B6T0000001912,E1,1.1087,3,900.0,01_01_02_01
01,1,1,2,深位,B6T0000001912,E1,1.1087,3,900.0,01_01_02_02
02,2,1,2,浅位,B6T0000001912,E1,1.1087,3,900.0,02_01_02_01
02,2,1,2,深位,B6T0000001912,E1,1.1087,3,900.0,02_01_02_02
03,3,1,2,浅位,B6T0000001912,E1,1.1087,3,900.0,03_01_02_01
03,3,1,2,深位,B6T0000001912,E1,1.1087,3,900.0,03_01_02_02
04,4,1,2,浅位,B6T0000001912,E1,1.1087,3,900.0,04_01_02_01
04,4,1,2,深位,B6T0000001912,E1,1.1087,3,900.0,04_01_02_02
05,5,1,2,浅位,B6T0000001912,E1,1.1087,3,900.0,05_01_02_01
05,5,1,2,深位,B6T0000001912,E1,1.1087,3,900.0,05_01_02_02
06,6,1,2,浅位,B6T0000001912,E1,1.1087,3,900.0,06_01_02_01
06,6,1,2,深位,B6T0000001912,E1,1.1087,3,900.0,06_01_02_02
07,7,1,2,浅位,B6T0000001912,E1,1.1087,3,900.0,07_01_02_01
07,7,1,2,深位,B6T0000001912,E1,1.1087,3,900.0,07_01_02_02
08,8,1,2,浅位,B6T0000001912,E1,1.1087,3,900.0,08_01_02_01
09,9,1,2,浅位,B6T0000001333,E1,1.1086,3,900.0,09_01_02_01
09,9,1,2,深位,B6T0000001333,E1,1.1086,3,900.0,09_01_02_02
10,10,1,2,浅位,B6T0000001333,E1,1.1086,3,900.0,10_01_02_01
10,10,1,2,深位,B6T0000001333,E1,1.1086,3,900.0,10_01_02_02
11,11,1,2,浅位,B6T0000001333,E1,1.1086,3,900.0,11_01_02_01
11,11,1,2,深位,B6T0000001333,E1,1.1086,3,900.0,11_01_02_02
12,12,1,2,浅位,B6T0000001333,E1,1.1086,3,900.0,12_01_02_01
12,12,1,2,深位,B6T0000001333,E1,1.1086,3,900.0,12_01_02_02
13,13,1,2,浅位,B6T0000001333,E1,1.1086,3,900.0,13_01_02_01
13,13,1,2,深位,B6T0000001333,E1,1.1086,3,900.0,13_01_02_02
14,14,1,2,浅位,B6T0000001333,E1,1.1086,3,900.0,14_01_02_01
14,14,1,2,深位,B6T0000001333,E1,1.1086,3,900.0,14_01_02_02
01,1,3,1,浅位,B6T0000001715,E1,0.8374,4,900.0,01_03_01_01
01,1,3,1,深位,B6T0000001715,E1,0.8374,4,900.0,01_03_01_02
02,2,3,1,浅位,B6T0000001715,E1,0.8374,4,900.0,02_03_01_01
02,2,3,1,深位,B6T0000001715,E1,0.8374,4,900.0,02_03_01_02
03,3,3,1,浅位,B6T0000001715,E1,0.8374,4,900.0,03_03_01_01
03,3,3,1,深位,B6T0000001715,E1,0.8374,4,900.0,03_03_01_02
04,4,3,1,浅位,B6T0000001715,E1,0.8374,4,900.0,04_03_01_01
04,4,3,1,深位,B6T0000001715,E1,0.8374,4,900.0,04_03_01_02
05,5,3,1,浅位,B6T0000001715,E1,0.8374,4,900.0,05_03_01_01
05,5,3,1,深位,B6T0000001715,E1,0.8374,4,900.0,05_03_01_02
06,6,3,1,浅位,B6T0000001715,E1,0.8374,4,900.0,06_03_01_01
06,6,3,1,深位,B6T0000001715,E1,0.8374,4,900.0,06_03_01_02
07,7,3,1,浅位,B6T0000001616,E1,0.7499,4,900.0,07_03_01_01
07,7,3,1,深位,B6T0000001616,E1,0.7499,4,900.0,07_03_01_02
08,8,3,1,浅位,B6T0000001616,E1,0.7499,4,900.0,08_03_01_01
08,8,3,1,深位,B6T0000001616,E1,0.7499,4,900.0,08_03_01_02
09,9,3,1,浅位,B6T0000001616,E1,0.7499,4,900.0,09_03_01_01
09,9,3,1,深位,B6T0000001616,E1,0.7499,4,900.0,09_03_01_02
10,10,3,1,浅位,B6T0000001616,E1,0.7499,4,900.0,10_03_01_01
10,10,3,1,深位,B6T0000001616,E1,0.7499,4,900.0,10_03_01_02
11,11,3,1,浅位,B6T0000001616,E1,0.7499,4,900.0,11_03_01_01
11,11,3,1,深位,B6T0000001616,E1,0.7499,4,900.0,11_03_01_02
12,12,3,1,浅位,B6T0000001616,E1,0.7499,4,900.0,12_03_01_01
12,12,3,1,深位,B6T0000001616,E1,0.7499,4,900.0,12_03_01_02
13,13,3,1,浅位,B6T0000001616,E1,0.7499,4,900.0,13_03_01_01
13,13,3,1,深位,B6T0000001616,E1,0.7499,4,900.0,13_03_01_02
14,14,3,1,浅位,B6T0000001616,E1,0.7499,4,900.0,14_03_01_01
14,14,3,1,深位,B6T0000001616,E1,0.7499,4,900.0,14_03_01_02
01,1,2,2,浅位,B6T0000001638,E1,0.6094,4,1100.0,01_02_02_01
01,1,2,2,深位,B6T0000001638,E1,0.6094,4,1100.0,01_02_02_02
02,2,2,2,浅位,B6T0000001638,E1,0.6094,4,1100.0,02_02_02_01
02,2,2,2,深位,B6T0000001638,E1,0.6094,4,1100.0,02_02_02_02
03,3,2,2,浅位,B6T0000001638,E1,0.6094,4,1100.0,03_02_02_01
03,3,2,2,深位,B6T0000001638,E1,0.6094,4,1100.0,03_02_02_02
04,4,2,2,浅位,B6T0000001638,E1,0.6094,4,1100.0,04_02_02_01
04,4,2,2,深位,B6T0000001638,E1,0.6094,4,1100.0,04_02_02_02
05,5,2,2,浅位,B6T0000001638,E1,0.6094,4,1100.0,05_02_02_01
05,5,2,2,深位,B6T0000001638,E1,0.6094,4,1100.0,05_02_02_02
06,6,2,2,浅位,B6T0000001638,E1,0.6094,4,1100.0,06_02_02_01
06,6,2,2,深位,B6T0000001638,E1,0.6094,4,1100.0,06_02_02_02
07,7,2,2,浅位,B6T0000001664,E1,0.5883,4,1100.0,07_02_02_01
07,7,2,2,深位,B6T0000001664,E1,0.5883,4,1100.0,07_02_02_02
08,8,2,2,浅位,B6T0000001664,E1,0.5883,4,1100.0,08_02_02_01
08,8,2,2,深位,B6T0000001664,E1,0.5883,4,1100.0,08_02_02_02
09,9,2,2,浅位,B6T0000001664,E1,0.5883,4,1100.0,09_02_02_01
09,9,2,2,深位,B6T0000001664,E1,0.5883,4,1100.0,09_02_02_02
10,10,2,2,浅位,B6T0000001664,E1,0.5883,4,1100.0,10_02_02_01
10,10,2,2,深位,B6T0000001664,E1,0.5883,4,1100.0,10_02_02_02
11,11,2,2,浅位,B6T0000001664,E1,0.5883,4,1100.0,11_02_02_01
11,11,2,2,深位,B6T0000001664,E1,0.5883,4,1100.0,11_02_02_02
12,12,2,2,浅位,B6T0000001889,E1,0.5674,4,1100.0,12_02_02_01
12,12,2,2,深位,B6T0000001889,E1,0.5674,4,1100.0,12_02_02_02
13,13,2,2,浅位,B6T0000001889,E1,0.5674,4,1100.0,13_02_02_01
13,13,2,2,深位,B6T0000001889,E1,0.5674,4,1100.0,13_02_02_02
14,14,2,2,浅位,B6T0000001889,E1,0.5674,4,1100.0,14_02_02_01
14,14,2,2,深位,B6T0000001889,E1,0.5674,4,1100.0,14_02_02_02
01,1,4,1,浅位,B6T0000001889,E1,0.5674,5,1100.0,01_04_01_01
01,1,4,1,深位,B6T0000001889,E1,0.5674,5,1100.0,01_04_01_02
02,2,4,1,浅位,B6T0000001889,E1,0.5674,5,1100.0,02_04_01_01
02,2,4,1,深位,B6T0000001889,E1,0.5674,5,1100.0,02_04_01_02
03,3,4,1,浅位,B6T0000001889,E1,0.5674,5,1100.0,03_04_01_01
04,4,4,1,浅位,B6T0000001591,E1,0.5373,5,1100.0,04_04_01_01
04,4,4,1,深位,B6T0000001591,E1,0.5373,5,1100.0,04_04_01_02
05,5,4,1,浅位,B6T0000001591,E1,0.5373,5,1100.0,05_04_01_01
05,5,4,1,深位,B6T0000001591,E1,0.5373,5,1100.0,05_04_01_02
06,6,4,1,浅位,B6T0000001591,E1,0.5373,5,1100.0,06_04_01_01
06,6,4,1,深位,B6T0000001591,E1,0.5373,5,1100.0,06_04_01_02
07,7,4,1,浅位,B6T0000001591,E1,0.5373,5,1100.0,07_04_01_01
07,7,4,1,深位,B6T0000001591,E1,0.5373,5,1100.0,07_04_01_02
08,8,4,1,浅位,B6T0000001591,E1,0.5373,5,1100.0,08_04_01_01
08,8,4,1,深位,B6T0000001591,E1,0.5373,5,1100.0,08_04_01_02
09,9,4,1,浅位,B6T0000001591,E1,0.5373,5,1100.0,09_04_01_01
09,9,4,1,深位,B6T0000001591,E1,0.5373,5,1100.0,09_04_01_02
10,10,4,1,浅位,B6T0000001584,E1,0.4066,5,1100.0,10_04_01_01
10,10,4,1,深位,B6T0000001584,E1,0.4066,5,1100.0,10_04_01_02
11,11,4,1,浅位,B6T0000001584,E1,0.4066,5,1100.0,11_04_01_01
11,11,4,1,深位,B6T0000001584,E1,0.4066,5,1100.0,11_04_01_02
12,12,4,1,浅位,B6T0000001584,E1,0.4066,5,1100.0,12_04_01_01
12,12,4,1,深位,B6T0000001584,E1,0.4066,5,1100.0,12_04_01_02
13,13,4,1,浅位,B6T0000001584,E1,0.4066,5,1100.0,13_04_01_01
13,13,4,1,深位,B6T0000001584,E1,0.4066,5,1100.0,13_04_01_02
14,14,4,1,浅位,B6T0000001584,E1,0.4066,5,1100.0,14_04_01_01
14,14,4,1,深位,B6T0000001584,E1,0.4066,5,1100.0,14_04_01_02
01,1,1,3,浅位,B6T0000001584,E1,0.4066,4,1300.0,01_01_03_01
01,1,1,3,深位,B6T0000001584,E1,0.4066,4,1300.0,01_01_03_02
02,2,1,3,浅位,B6T0000001584,E1,0.4066,4,1300.0,02_01_03_01
02,2,1,3,深位,B6T0000001584,E1,0.4066,4,1300.0,02_01_03_02
03,3,1,3,浅位,B6T0000001584,E1,0.4066,4,1300.0,03_01_03_01
03,3,1,3,深位,B6T0000001584,E1,0.4066,4,1300.0,03_01_03_02
04,4,1,3,浅位,B6T0000001584,E1,0.4066,4,1300.0,04_01_03_01
04,4,1,3,深位,B6T0000001584,E1,0.4066,4,1300.0,04_01_03_02
05,5,1,3,浅位,B6T0000001584,E1,0.4066,4,1300.0,05_01_03_01
05,5,1,3,深位,B6T0000001584,E1,0.4066,4,1300.0,05_01_03_02
06,6,1,3,浅位,B6T0000001584,E1,0.4066,4,1300.0,06_01_03_01
06,6,1,3,深位,B6T0000001584,E1,0.4066,4,1300.0,06_01_03_02
07,7,1,3,浅位,B6T0000001584,E1,0.4066,4,1300.0,07_01_03_01
07,7,1,3,深位,B6T0000001584,E1,0.4066,4,1300.0,07_01_03_02
08,8,1,3,浅位,B6T0000001584,E1,0.4066,4,1300.0,08_01_03_01
08,8,1,3,深位,B6T0000001584,E1,0.4066,4,1300.0,08_01_03_02
09,9,1,3,浅位,B6T0000001584,E1,0.4066,4,1300.0,09_01_03_01
09,9,1,3,深位,B6T0000001584,E1,0.4066,4,1300.0,09_01_03_02
10,10,1,3,浅位,B6T0000001348,E1,0.4029,4,1300.0,10_01_03_01
10,10,1,3,深位,B6T0000001348,E1,0.4029,4,1300.0,10_01_03_02
11,11,1,3,浅位,B6T0000001348,E1,0.4029,4,1300.0,11_01_03_01
11,11,1,3,深位,B6T0000001348,E1,0.4029,4,1300.0,11_01_03_02
12,12,1,3,浅位,B6T0000001348,E1,0.4029,4,1300.0,12_01_03_01
12,12,1,3,深位,B6T0000001348,E1,0.4029,4,1300.0,12_01_03_02
13,13,1,3,浅位,B6T0000001348,E1,0.4029,4,1300.0,13_01_03_01
13,13,1,3,深位,B6T0000001348,E1,0.4029,4,1300.0,13_01_03_02
14,14,1,3,浅位,B6T0000001348,E1,0.4029,4,1300.0,14_01_03_01
14,14,1,3,深位,B6T0000001348,E1,0.4029,4,1300.0,14_01_03_02
01,1,3,2,浅位,B6T0000001348,E1,0.4029,5,1300.0,01_03_02_01
01,1,3,2,深位,B6T0000001348,E1,0.4029,5,1300.0,01_03_02_02
02,2,3,2,浅位,B6T0000001348,E1,0.4029,5,1300.0,02_03_02_01
02,2,3,2,深位,B6T0000001348,E1,0.4029,5,1300.0,02_03_02_02
03,3,3,2,浅位,B6T0000001348,E1,0.4029,5,1300.0,03_03_02_01
03,3,3,2,深位,B6T0000001348,E1,0.4029,5,1300.0,03_03_02_02
04,4,3,2,浅位,B6T0000001424,E1,0.3771,5,1300.0,04_03_02_01
04,4,3,2,深位,B6T0000001424,E1,0.3771,5,1300.0,04_03_02_02
05,5,3,2,浅位,B6T0000001424,E1,0.3771,5,1300.0,05_03_02_01
05,5,3,2,深位,B6T0000001424,E1,0.3771,5,1300.0,05_03_02_02
06,6,3,2,浅位,B6T0000001424,E1,0.3771,5,1300.0,06_03_02_01
06,6,3,2,深位,B6T0000001424,E1,0.3771,5,1300.0,06_03_02_02
07,7,3,2,浅位,B6T0000001424,E1,0.3771,5,1300.0,07_03_02_01
07,7,3,2,深位,B6T0000001424,E1,0.3771,5,1300.0,07_03_02_02
08,8,3,2,浅位,B6T0000001424,E1,0.3771,5,1300.0,08_03_02_01
08,8,3,2,深位,B6T0000001424,E1,0.3771,5,1300.0,08_03_02_02
09,9,3,2,浅位,B6T0000001424,E1,0.3771,5,1300.0,09_03_02_01
09,9,3,2,深位,B6T0000001424,E1,0.3771,5,1300.0,09_03_02_02
10,10,3,2,浅位,B6T0000001424,E1,0.3771,5,1300.0,10_03_02_01
10,10,3,2,深位,B6T0000001424,E1,0.3771,5,1300.0,10_03_02_02
11,11,3,2,浅位,B6T0000001424,E1,0.3771,5,1300.0,11_03_02_01
11,11,3,2,深位,B6T0000001424,E1,0.3771,5,1300.0,11_03_02_02
12,12,3,2,浅位,B6T0000001424,E1,0.3771,5,1300.0,12_03_02_01
12,12,3,2,深位,B6T0000001424,E1,0.3771,5,1300.0,12_03_02_02
13,13,3,2,浅位,B6T0000001424,E1,0.3771,5,1300.0,13_03_02_01
13,13,3,2,深位,B6T0000001424,E1,0.3771,5,1300.0,13_03_02_02
14,14,3,2,浅位,B6T0000001424,E1,0.3771,5,1300.0,14_03_02_01
14,14,3,2,深位,B6T0000001424,E1,0.3771,5,1300.0,14_03_02_02
01,1,5,1,浅位,B6T0000001424,E1,0.3771,6,1300.0,01_05_01_01
01,1,5,1,深位,B6T0000001424,E1,0.3771,6,1300.0,01_05_01_02
02,2,5,1,浅位,B6T0000001424,E1,0.3771,6,1300.0,02_05_01_01
02,2,5,1,深位,B6T0000001424,E1,0.3771,6,1300.0,02_05_01_02
03,3,5,1,浅位,B6T0000001424,E1,0.3771,6,1300.0,03_05_01_01
03,3,5,1,深位,B6T0000001424,E1,0.3771,6,1300.0,03_05_01_02
04,4,5,1,浅位,B6T0000001424,E1,0.3771,6,1300.0,04_05_01_01
04,4,5,1,深位,B6T0000001424,E1,0.3771,6,1300.0,04_05_01_02
05,5,5,1,浅位,B6T0000001424,E1,0.3771,6,1300.0,05_05_01_01
06,6,5,1,浅位,B6T0000001864,E1,0.3365,6,1300.0,06_05_01_01
06,6,5,1,深位,B6T0000001864,E1,0.3365,6,1300.0,06_05_01_02
07,7,5,1,浅位,B6T0000001864,E1,0.3365,6,1300.0,07_05_01_01
07,7,5,1,深位,B6T0000001864,E1,0.3365,6,1300.0,07_05_01_02
08,8,5,1,浅位,B6T0000001864,E1,0.3365,6,1300.0,08_05_01_01
08,8,5,1,深位,B6T0000001864,E1,0.3365,6,1300.0,08_05_01_02
09,9,5,1,浅位,B6T0000001864,E1,0.3365,6,1300.0,09_05_01_01
09,9,5,1,深位,B6T0000001864,E1,0.3365,6,1300.0,09_05_01_02
10,10,5,1,浅位,B6T0000001864,E1,0.3365,6,1300.0,10_05_01_01
10,10,5,1,深位,B6T0000001864,E1,0.3365,6,1300.0,10_05_01_02
11,11,5,1,浅位,B6T0000001864,E1,0.3365,6,1300.0,11_05_01_01
11,11,5,1,深位,B6T0000001864,E1,0.3365,6,1300.0,11_05_01_02
12,12,5,1,浅位,B6T0000001864,E1,0.3365,6,1300.0,12_05_01_01
12,12,5,1,深位,B6T0000001864,E1,0.3365,6,1300.0,12_05_01_02
13,13,5,1,浅位,B6T0000001864,E1,0.3365,6,1300.0,13_05_01_01
13,13,5,1,深位,B6T0000001864,E1,0.3365,6,1300.0,13_05_01_02
14,14,5,1,浅位,B6T0000001864,E1,0.3365,6,1300.0,14_05_01_01
14,14,5,1,深位,B6T0000001864,E1,0.3365,6,1300.0,14_05_01_02
01,1,2,3,浅位,B6T0000001864,E1,0.3365,5,1500.0,01_02_03_01
01,1,2,3,深位,B6T0000001864,E1,0.3365,5,1500.0,01_02_03_02
02,2,2,3,浅位,B6T0000001864,E1,0.3365,5,1500.0,02_02_03_01
02,2,2,3,深位,B6T0000001864,E1,0.3365,5,1500.0,02_02_03_02
03,3,2,3,浅位,B6T0000001864,E1,0.3365,5,1500.0,03_02_03_01
03,3,2,3,深位,B6T0000001864,E1,0.3365,5,1500.0,03_02_03_02
04,4,2,3,浅位,B6T0000001864,E1,0.3365,5,1500.0,04_02_03_01
04,4,2,3,深位,B6T0000001864,E1,0.3365,5,1500.0,04_02_03_02
05,5,2,3,浅位,B6T0000001718,E1,0.3194,5,1500.0,05_02_03_01
05,5,2,3,深位,B6T0000001718,E1,0.3194,5,1500.0,05_02_03_02
06,6,2,3,浅位,B6T0000001718,E1,0.3194,5,1500.0,06_02_03_01
06,6,2,3,深位,B6T0000001718,E1,0.3194,5,1500.0,06_02_03_02
07,7,2,3,浅位,B6T0000001718,E1,0.3194,5,1500.0,07_02_03_01
07,7,2,3,深位,B6T0000001718,E1,0.3194,5,1500.0,07_02_03_02
08,8,2,3,浅位,B6T0000001718,E1,0.3194,5,1500.0,08_02_03_01
08,8,2,3,深位,B6T0000001718,E1,0.3194,5,1500.0,08_02_03_02
09,9,2,3,浅位,B6T0000001718,E1,0.3194,5,1500.0,09_02_03_01
09,9,2,3,深位,B6T0000001718,E1,0.3194,5,1500.0,09_02_03_02
10,10,2,3,浅位,B6T0000001718,E1,0.3194,5,1500.0,10_02_03_01
10,10,2,3,深位,B6T0000001718,E1,0.3194,5,1500.0,10_02_03_02
11,11,2,3,浅位,B6T0000001718,E1,0.3194,5,1500.0,11_02_03_01
11,11,2,3,深位,B6T0000001718,E1,0.3194,5,1500.0,11_02_03_02
12,12,2,3,浅位,B6T0000001830,E1,0.2693,5,1500.0,12_02_03_01
12,12,2,3,深位,B6T0000001830,E1,0.2693,5,1500.0,12_02_03_02
13,13,2,3,浅位,B6T0000001830,E1,0.2693,5,1500.0,13_02_03_01
13,13,2,3,深位,B6T0000001830,E1,0.2693,5,1500.0,13_02_03_02
14,14,2,3,浅位,B6T0000001830,E1,0.2693,5,1500.0,14_02_03_01
14,14,2,3,深位,B6T0000001830,E1,0.2693,5,1500.0,14_02_03_02
01,1,4,2,浅位,B6T0000001830,E1,0.2693,6,1500.0,01_04_02_01
01,1,4,2,深位,B6T0000001830,E1,0.2693,6,1500.0,01_04_02_02
02,2,4,2,浅位,B6T0000001830,E1,0.2693,6,1500.0,02_04_02_01
02,2,4,2,深位,B6T0000001830,E1,0.2693,6,1500.0,02_04_02_02
03,3,4,2,浅位,B6T0000001830,E1,0.2693,6,1500.0,03_04_02_01
03,3,4,2,深位,B6T0000001830,E1,0.2693,6,1500.0,03_04_02_02
04,4,4,2,浅位,B6T0000001830,E1,0.2693,6,1500.0,04_04_02_01
04,4,4,2,深位,B6T0000001830,E1,0.2693,6,1500.0,04_04_02_02
05,5,4,2,浅位,B6T0000001830,E1,0.2693,6,1500.0,05_04_02_01
05,5,4,2,深位,B6T0000001830,E1,0.2693,6,1500.0,05_04_02_02
06,6,4,2,浅位,B6T0000001830,E1,0.2693,6,1500.0,06_04_02_01
06,6,4,2,深位,B6T0000001830,E1,0.2693,6,1500.0,06_04_02_02
07,7,4,2,浅位,B6T0000001466,E1,0.2415,6,1500.0,07_04_02_01
07,7,4,2,深位,B6T0000001466,E1,0.2415,6,1500.0,07_04_02_02
08,8,4,2,浅位,B6T0000001466,E1,0.2415,6,1500.0,08_04_02_01
08,8,4,2,深位,B6T0000001466,E1,0.2415,6,1500.0,08_04_02_02
09,9,4,2,浅位,B6T0000001466,E1,0.2415,6,1500.0,09_04_02_01
09,9,4,2,深位,B6T0000001466,E1,0.2415,6,1500.0,09_04_02_02
10,10,4,2,浅位,B6T0000001466,E1,0.2415,6,1500.0,10_04_02_01
10,10,4,2,深位,B6T0000001466,E1,0.2415,6,1500.0,10_04_02_02
11,11,4,2,浅位,B6T0000001466,E1,0.2415,6,1500.0,11_04_02_01
11,11,4,2,深位,B6T0000001466,E1,0.2415,6,1500.0,11_04_02_02
12,12,4,2,浅位,B6T0000001466,E1,0.2415,6,1500.0,12_04_02_01
12,12,4,2,深位,B6T0000001466,E1,0.2415,6,1500.0,12_04_02_02
13,13,4,2,浅位,B6T0000001466,E1,0.2415,6,1500.0,13_04_02_01
14,14,4,2,浅位,B6T0000001754,E1,0.2306,6,1500.0,14_04_02_01
14,14,4,2,深位,B6T0000001754,E1,0.2306,6,1500.0,14_04_02_02
01,1,6,1,浅位,B6T0000001754,E1,0.2306,7,1500.0,01_06_01_01
01,1,6,1,深位,B6T0000001754,E1,0.2306,7,1500.0,01_06_01_02
02,2,6,1,浅位,B6T0000001754,E1,0.2306,7,1500.0,02_06_01_01
02,2,6,1,深位,B6T0000001754,E1,0.2306,7,1500.0,02_06_01_02
03,3,6,1,浅位,B6T0000001754,E1,0.2306,7,1500.0,03_06_01_01
03,3,6,1,深位,B6T0000001754,E1,0.2306,7,1500.0,03_06_01_02
04,4,6,1,浅位,B6T0000001754,E1,0.2306,7,1500.0,04_06_01_01
04,4,6,1,深位,B6T0000001754,E1,0.2306,7,1500.0,04_06_01_02
05,5,6,1,浅位,B6T0000001754,E1,0.2306,7,1500.0,05_06_01_01
05,5,6,1,深位,B6T0000001754,E1,0.2306,7,1500.0,05_06_01_02
06,6,6,1,浅位,B6T0000001754,E1,0.2306,7,1500.0,06_06_01_01
06,6,6,1,深位,B6T0000001754,E1,0.2306,7,1500.0,06_06_01_02
07,7,6,1,浅位,B6T0000001754,E1,0.2306,7,1500.0,07_06_01_01
07,7,6,1,深位,B6T0000001754,E1,0.2306,7,1500.0,07_06_01_02
08,8,6,1,浅位,B6T0000001754,E1,0.2306,7,1500.0,08_06_01_01
08,8,6,1,深位,B6T0000001754,E1,0.2306,7,1500.0,08_06_01_02
09,9,6,1,浅位,B6T0000001754,E1,0.2306,7,1500.0,09_06_01_01
09,9,6,1,深位,B6T0000001754,E1,0.2306,7,1500.0,09_06_01_02
10,10,6,1,浅位,B6T0000001754,E1,0.2306,7,1500.0,10_06_01_01
11,11,6,1,浅位,B6T0000001324,E1,0.2305,7,1500.0,11_06_01_01
11,11,6,1,深位,B6T0000001324,E1,0.2305,7,1500.0,11_06_01_02
12,12,6,1,浅位,B6T0000001324,E1,0.2305,7,1500.0,12_06_01_01
12,12,6,1,深位,B6T0000001324,E1,0.2305,7,1500.0,12_06_01_02
13,13,6,1,浅位,B6T0000001324,E1,0.2305,7,1500.0,13_06_01_01
13,13,6,1,深位,B6T0000001324,E1,0.2305,7,1500.0,13_06_01_02
14,14,6,1,浅位,B6T0000001324,E1,0.2305,7,1500.0,14_06_01_01
14,14,6,1,深位,B6T0000001324,E1,0.2305,7,1500.0,14_06_01_02
