库位编号,原材料编号,箱子类型,列(x),层(z),取货时间(s),送货时间(s),单次出库时间(s)
13_01_01_01,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
13_01_01_02,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
14_01_01_01,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
14_01_01_02,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
01_02_01_01,B6T0000001954,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
01_02_01_02,B6T0000001954,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
02_02_01_01,B6T0000001954,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
03_02_01_01,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
03_02_01_02,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
04_02_01_01,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
04_02_01_02,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
05_02_01_01,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
05_02_01_02,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
06_02_01_01,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
06_02_01_02,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
07_02_01_01,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
07_02_01_02,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
08_02_01_01,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
08_02_01_02,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
09_02_01_01,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
09_02_01_02,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
10_02_01_01,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
10_02_01_02,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
11_02_01_01,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
11_02_01_02,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
12_02_01_01,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
12_02_01_02,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
13_02_01_01,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
13_02_01_02,B6T0000001727,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
14_02_01_01,B6T0000001912,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
14_02_01_02,B6T0000001912,E1,1,2,0.5333333333333334,0.6911544227886058,7.224487756121939
01_01_02_01,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
01_01_02_02,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
02_01_02_01,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
02_01_02_02,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
03_01_02_01,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
03_01_02_02,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
04_01_02_01,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
04_01_02_02,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
05_01_02_01,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
05_01_02_02,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
06_01_02_01,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
06_01_02_02,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
07_01_02_01,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
07_01_02_02,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
08_01_02_01,B6T0000001912,E1,2,1,0.4,0.5202398800599701,6.92023988005997
09_01_02_01,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
09_01_02_02,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
10_01_02_01,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
10_01_02_02,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
11_01_02_01,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
11_01_02_02,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
12_01_02_01,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
12_01_02_02,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
13_01_02_01,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
13_01_02_02,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
14_01_02_01,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
14_01_02_02,B6T0000001333,E1,2,1,0.4,0.5202398800599701,6.92023988005997
01_03_01_01,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
01_03_01_02,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
02_03_01_01,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
02_03_01_02,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
03_03_01_01,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
03_03_01_02,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
04_03_01_01,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
04_03_01_02,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
05_03_01_01,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
05_03_01_02,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
06_03_01_01,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
06_03_01_02,B6T0000001715,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
07_03_01_01,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
07_03_01_02,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
08_03_01_01,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
08_03_01_02,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
09_03_01_01,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
09_03_01_02,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
10_03_01_01,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
10_03_01_02,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
11_03_01_01,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
11_03_01_02,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
12_03_01_01,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
12_03_01_02,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
13_03_01_01,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
13_03_01_02,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
14_03_01_01,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
14_03_01_02,B6T0000001616,E1,1,3,0.7999999999999999,1.0359820089955023,7.835982008995503
01_02_02_01,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
01_02_02_02,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
02_02_02_01,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
02_02_02_02,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
03_02_02_01,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
03_02_02_02,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
04_02_02_01,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
04_02_02_02,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
05_02_02_01,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
05_02_02_02,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
06_02_02_01,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
06_02_02_02,B6T0000001638,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
07_02_02_01,B6T0000001664,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
07_02_02_02,B6T0000001664,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
08_02_02_01,B6T0000001664,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
08_02_02_02,B6T0000001664,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
09_02_02_01,B6T0000001664,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
09_02_02_02,B6T0000001664,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
10_02_02_01,B6T0000001664,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
10_02_02_02,B6T0000001664,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
11_02_02_01,B6T0000001664,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
11_02_02_02,B6T0000001664,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
12_02_02_01,B6T0000001889,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
12_02_02_02,B6T0000001889,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
13_02_02_01,B6T0000001889,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
13_02_02_02,B6T0000001889,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
14_02_02_01,B6T0000001889,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
14_02_02_02,B6T0000001889,E1,2,2,0.6666666666666667,0.8650674662668667,7.531734132933534
01_04_01_01,B6T0000001889,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
01_04_01_02,B6T0000001889,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
02_04_01_01,B6T0000001889,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
02_04_01_02,B6T0000001889,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
03_04_01_01,B6T0000001889,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
04_04_01_01,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
04_04_01_02,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
05_04_01_01,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
05_04_01_02,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
06_04_01_01,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
06_04_01_02,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
07_04_01_01,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
07_04_01_02,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
08_04_01_01,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
08_04_01_02,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
09_04_01_01,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
09_04_01_02,B6T0000001591,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
10_04_01_01,B6T0000001584,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
10_04_01_02,B6T0000001584,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
11_04_01_01,B6T0000001584,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
11_04_01_02,B6T0000001584,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
12_04_01_01,B6T0000001584,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
12_04_01_02,B6T0000001584,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
13_04_01_01,B6T0000001584,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
13_04_01_02,B6T0000001584,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
14_04_01_01,B6T0000001584,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
14_04_01_02,B6T0000001584,E1,1,4,1.0666666666666669,1.380809595202399,8.447476261869067
01_01_03_01,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
01_01_03_02,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
02_01_03_01,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
02_01_03_02,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
03_01_03_01,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
03_01_03_02,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
04_01_03_01,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
04_01_03_02,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
05_01_03_01,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
05_01_03_02,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
06_01_03_01,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
06_01_03_02,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
07_01_03_01,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
07_01_03_02,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
08_01_03_01,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
08_01_03_02,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
09_01_03_01,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
09_01_03_02,B6T0000001584,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
10_01_03_01,B6T0000001348,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
10_01_03_02,B6T0000001348,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
11_01_03_01,B6T0000001348,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
11_01_03_02,B6T0000001348,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
12_01_03_01,B6T0000001348,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
12_01_03_02,B6T0000001348,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
13_01_03_01,B6T0000001348,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
13_01_03_02,B6T0000001348,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
14_01_03_01,B6T0000001348,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
14_01_03_02,B6T0000001348,E1,3,1,0.5333333333333334,0.694152923538231,7.227486256871565
01_03_02_01,B6T0000001348,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
01_03_02_02,B6T0000001348,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
02_03_02_01,B6T0000001348,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
02_03_02_02,B6T0000001348,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
03_03_02_01,B6T0000001348,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
03_03_02_02,B6T0000001348,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
04_03_02_01,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
04_03_02_02,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
05_03_02_01,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
05_03_02_02,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
06_03_02_01,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
06_03_02_02,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
07_03_02_01,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
07_03_02_02,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
08_03_02_01,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
08_03_02_02,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
09_03_02_01,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
09_03_02_02,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
10_03_02_01,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
10_03_02_02,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
11_03_02_01,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
11_03_02_02,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
12_03_02_01,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
12_03_02_02,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
13_03_02_01,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
13_03_02_02,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
14_03_02_01,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
14_03_02_02,B6T0000001424,E1,2,3,0.9333333333333333,1.2098950524737633,8.143228385807097
01_05_01_01,B6T0000001424,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
01_05_01_02,B6T0000001424,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
02_05_01_01,B6T0000001424,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
02_05_01_02,B6T0000001424,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
03_05_01_01,B6T0000001424,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
03_05_01_02,B6T0000001424,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
04_05_01_01,B6T0000001424,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
04_05_01_02,B6T0000001424,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
05_05_01_01,B6T0000001424,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
06_05_01_01,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
06_05_01_02,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
07_05_01_01,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
07_05_01_02,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
08_05_01_01,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
08_05_01_02,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
09_05_01_01,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
09_05_01_02,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
10_05_01_01,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
10_05_01_02,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
11_05_01_01,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
11_05_01_02,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
12_05_01_01,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
12_05_01_02,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
13_05_01_01,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
13_05_01_02,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
14_05_01_01,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
14_05_01_02,B6T0000001864,E1,1,5,1.3333333333333333,1.7256371814092957,9.05897051474263
01_02_03_01,B6T0000001864,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
01_02_03_02,B6T0000001864,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
02_02_03_01,B6T0000001864,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
02_02_03_02,B6T0000001864,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
03_02_03_01,B6T0000001864,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
03_02_03_02,B6T0000001864,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
04_02_03_01,B6T0000001864,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
04_02_03_02,B6T0000001864,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
05_02_03_01,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
05_02_03_02,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
06_02_03_01,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
06_02_03_02,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
07_02_03_01,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
07_02_03_02,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
08_02_03_01,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
08_02_03_02,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
09_02_03_01,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
09_02_03_02,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
10_02_03_01,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
10_02_03_02,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
11_02_03_01,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
11_02_03_02,B6T0000001718,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
12_02_03_01,B6T0000001830,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
12_02_03_02,B6T0000001830,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
13_02_03_01,B6T0000001830,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
13_02_03_02,B6T0000001830,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
14_02_03_01,B6T0000001830,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
14_02_03_02,B6T0000001830,E1,3,2,0.8000000000000002,1.0389805097451277,7.838980509745127
01_04_02_01,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
01_04_02_02,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
02_04_02_01,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
02_04_02_02,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
03_04_02_01,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
03_04_02_02,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
04_04_02_01,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
04_04_02_02,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
05_04_02_01,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
05_04_02_02,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
06_04_02_01,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
06_04_02_02,B6T0000001830,E1,2,4,1.2000000000000002,1.5547226386806599,8.75472263868066
