订单号,原材料号,到达时间(s),消耗占比,列坐标,层坐标,货架号,巷道号,单程时间(s),总运输时间(s),开始时刻(s),完成时刻(s),流动时间(s),策略
896,B6T0000000488,25440.0,0.1265,8,13,2,1,50.0,106.0,25808.0,25864.0,424.0,SPT
745,B6T0000000140,25440.0,0.1595,2,46,1,1,173.50000000000009,353.00000000000017,26037.5,26217.0,777.0,SPT
751,B6T0000000140,25440.0,0.1595,2,46,1,1,173.50000000000009,353.00000000000017,26390.5,26570.0,1130.0,SPT
750,B6T0000000140,25440.0,0.1595,2,46,2,1,173.50000000000009,353.00000000000017,26743.5,26923.0,1483.0,SPT
3059,B6T0000001131,26580.0,0.0183,32,17,1,1,114.0,234.0,27037.0,27157.0,577.0,SPT
749,B6T0000000140,25440.0,0.1595,2,46,2,1,173.50000000000009,353.00000000000017,27330.5,27510.0,2070.0,SPT
3478,B6T0000000833,36960.0,0.0122,52,11,2,1,130.0,266.0,37090.0,37226.0,266.0,SPT
3479,B6T0000000833,36960.0,0.0122,52,11,2,1,130.0,266.0,37356.0,37492.0,532.0,SPT
1970,B6T0000000437,42360.0,0.0436,20,13,2,1,74.0,154.0,42434.0,42514.0,154.0,SPT
1971,B6T0000000437,42360.0,0.0436,20,13,2,1,74.0,154.0,42588.0,42668.0,308.0,SPT
2100,B6T0000001607,43200.0,0.0396,10,7,1,1,33.0,72.0,43233.0,43272.0,72.0,SPT
2099,B6T0000001607,43200.0,0.0396,10,7,1,1,33.0,72.0,43305.0,43344.0,144.0,SPT
2102,B6T0000001607,43200.0,0.0396,10,7,2,1,33.0,72.0,43377.0,43416.0,216.0,SPT
3283,B6T0000001099,48240.0,0.0148,45,11,2,1,116.0,238.0,48356.0,48478.0,238.0,SPT
3282,B6T0000001099,48240.0,0.0148,45,11,2,1,116.0,238.0,48594.0,48716.0,476.0,SPT
429,B6T0000000678,51360.0,0.1895,10,9,1,1,38.0,82.0,51398.0,51442.0,82.0,SPT
430,B6T0000000678,51360.0,0.1895,10,9,1,1,38.0,82.0,51480.0,51524.0,164.0,SPT
2166,B6T0000001771,51780.0,0.0373,12,5,1,1,33.0,72.0,51813.0,51852.0,72.0,SPT
2167,B6T0000001771,51780.0,0.0373,12,5,1,1,33.0,72.0,51885.0,51924.0,144.0,SPT
2168,B6T0000001771,51780.0,0.0373,12,5,2,1,33.0,72.0,51957.0,51996.0,216.0,SPT
2165,B6T0000001771,51780.0,0.0373,12,5,2,1,33.0,72.0,52029.0,52068.0,288.0,SPT
1938,B6T0000001937,54120.0,0.0442,8,8,1,1,31.0,68.0,54151.0,54188.0,68.0,SPT
1939,B6T0000001937,54120.0,0.0442,8,8,1,1,31.0,68.0,54219.0,54256.0,136.0,SPT
1940,B6T0000001937,54120.0,0.0442,8,8,2,1,31.0,68.0,54287.0,54324.0,204.0,SPT
1934,B6T0000001937,54120.0,0.0442,8,8,2,1,31.0,68.0,54355.0,54392.0,272.0,SPT
1537,B6T0000000088,55440.0,0.0638,4,48,1,1,187.50000000000009,381.00000000000017,55627.5,55821.0,381.0,SPT
1536,B6T0000000088,55440.0,0.0638,4,48,1,1,187.50000000000009,381.00000000000017,56008.5,56202.0,762.0,SPT
441,B6T0000000678,56040.0,0.1895,10,9,2,1,38.0,82.0,56240.0,56284.0,244.0,SPT
451,B6T0000000678,56040.0,0.1895,10,9,2,1,38.0,82.0,56322.0,56366.0,326.0,SPT
1535,B6T0000000088,55440.0,0.0638,4,48,2,1,187.50000000000009,381.00000000000017,56553.5,56747.0,1307.0,SPT
1534,B6T0000000088,55440.0,0.0638,4,48,2,1,187.50000000000009,381.00000000000017,56934.5,57128.0,1688.0,SPT
3304,B6T0000000643,86100.0,0.0144,16,40,2,1,174.00000000000006,354.0000000000001,86274.0,86454.0,354.0,SPT
3305,B6T0000000643,86100.0,0.0144,16,40,2,1,174.00000000000006,354.0000000000001,86628.0,86808.0,708.0,SPT
633,B6T0000000469,86880.0,0.1623,11,9,1,1,40.0,86.0,86920.0,86966.0,86.0,SPT
638,B6T0000000469,86880.0,0.1623,11,9,1,1,40.0,86.0,87006.0,87052.0,172.0,SPT
636,B6T0000000469,86880.0,0.1623,11,9,2,1,40.0,86.0,87092.0,87138.0,258.0,SPT
637,B6T0000000469,86880.0,0.1623,11,9,2,1,40.0,86.0,87178.0,87224.0,344.0,SPT
2436,B6T0000001589,87480.0,0.0297,18,2,2,1,39.0,84.0,87519.0,87564.0,84.0,SPT
2439,B6T0000001589,87480.0,0.0297,18,2,2,1,39.0,84.0,87603.0,87648.0,168.0,SPT
2161,B6T0000001774,87600.0,0.0375,13,3,2,1,31.0,68.0,87679.0,87716.0,116.0,SPT
2160,B6T0000001774,87600.0,0.0375,13,3,2,1,31.0,68.0,87747.0,87784.0,184.0,SPT
399,B6T0000000471,88500.0,0.1917,1,17,1,1,52.0,110.0,88552.0,88610.0,110.0,SPT
395,B6T0000000471,88500.0,0.1917,1,17,1,1,52.0,110.0,88662.0,88720.0,220.0,SPT
396,B6T0000000471,88500.0,0.1917,1,17,2,1,52.0,110.0,88772.0,88830.0,330.0,SPT
397,B6T0000000471,88500.0,0.1917,1,17,2,1,52.0,110.0,88882.0,88940.0,440.0,SPT
2129,B6T0000000727,88800.0,0.0388,18,17,1,1,86.0,178.0,89026.0,89118.0,318.0,SPT
2950,B6T0000001640,89040.0,0.0198,26,7,1,1,65.0,136.0,89183.0,89254.0,214.0,SPT
2133,B6T0000000727,88800.0,0.0388,18,17,1,1,86.0,178.0,89340.0,89432.0,632.0,SPT
2986,B6T0000001732,89280.0,0.0193,28,5,2,1,65.0,136.0,89497.0,89568.0,288.0,SPT
2988,B6T0000001732,89280.0,0.0193,28,5,2,1,65.0,136.0,89633.0,89704.0,424.0,SPT
2131,B6T0000000727,88800.0,0.0388,18,17,2,1,86.0,178.0,89790.0,89882.0,1082.0,SPT
2130,B6T0000000727,88800.0,0.0388,18,17,2,1,86.0,178.0,89968.0,90060.0,1260.0,SPT
3406,B6T0000000663,92340.0,0.013,29,31,1,1,164.00000000000003,334.00000000000006,92504.0,92674.0,334.0,SPT
3407,B6T0000000663,92340.0,0.013,29,31,1,1,164.00000000000003,334.00000000000006,92838.0,93008.0,668.0,SPT
1316,B6T0000000836,97500.0,0.0806,14,12,1,1,58.0,122.0,97558.0,97622.0,122.0,SPT
1315,B6T0000000836,97500.0,0.0806,14,12,1,1,58.0,122.0,97680.0,97744.0,244.0,SPT
1314,B6T0000000836,97500.0,0.0806,14,12,2,1,58.0,122.0,97802.0,97866.0,366.0,SPT
1308,B6T0000000836,97500.0,0.0806,14,12,2,1,58.0,122.0,97924.0,97988.0,488.0,SPT
2928,B6T0000000048,100380.0,0.02,19,47,1,1,212.50000000000009,431.00000000000017,100592.5,100811.0,431.0,SPT
2927,B6T0000000048,100380.0,0.02,19,47,1,1,212.50000000000009,431.00000000000017,101023.5,101242.0,862.0,SPT
2926,B6T0000000048,100380.0,0.02,19,47,2,1,212.50000000000009,431.00000000000017,101454.5,101673.0,1293.0,SPT
933,B6T0000000508,105960.0,0.1252,2,19,1,1,62.00000000000001,130.0,106022.0,106090.0,130.0,SPT
934,B6T0000000508,105960.0,0.1252,2,19,1,1,62.00000000000001,130.0,106152.0,106220.0,260.0,SPT
935,B6T0000000508,105960.0,0.1252,2,19,2,1,62.00000000000001,130.0,106282.0,106350.0,390.0,SPT
1060,B6T0000001185,106140.0,0.1039,3,20,1,1,68.00000000000001,142.00000000000003,106418.0,106492.0,352.0,SPT
1061,B6T0000001185,106140.0,0.1039,3,20,1,1,68.00000000000001,142.00000000000003,106560.0,106634.0,494.0,SPT
1062,B6T0000001185,106140.0,0.1039,3,20,2,1,68.00000000000001,142.00000000000003,106702.0,106776.0,636.0,SPT
1063,B6T0000001185,106140.0,0.1039,3,20,2,1,68.00000000000001,142.00000000000003,106844.0,106918.0,778.0,SPT
3715,B6T0000001576,106980.0,0.0106,56,4,1,1,119.0,244.0,107099.0,107224.0,244.0,SPT
3714,B6T0000001576,106980.0,0.0106,56,4,1,1,119.0,244.0,107343.0,107468.0,488.0,SPT
2629,B6T0000000942,108180.0,0.0249,25,17,1,1,100.0,206.0,108280.0,108386.0,206.0,SPT
2630,B6T0000000942,108180.0,0.0249,25,17,1,1,100.0,206.0,108486.0,108592.0,412.0,SPT
2961,B6T0000001529,110460.0,0.0197,28,4,2,1,63.0,132.0,110523.0,110592.0,132.0,SPT
2959,B6T0000001529,110460.0,0.0197,28,4,2,1,63.0,132.0,110655.0,110724.0,264.0,SPT
2574,B6T0000000647,111540.0,0.0267,26,15,1,1,94.0,194.0,111634.0,111734.0,194.0,SPT
563,B6T0000001238,113400.0,0.1832,3,16,1,1,51.99999999999999,110.0,113452.0,113510.0,110.0,SPT
562,B6T0000001238,113400.0,0.1832,3,16,2,1,51.99999999999999,110.0,113562.0,113620.0,220.0,SPT
560,B6T0000001238,113400.0,0.1832,3,16,2,1,51.99999999999999,110.0,113672.0,113730.0,330.0,SPT
50,B6T0000001104,123540.0,0.8431,4,9,1,1,26.0,57.99999999999999,123566.0,123598.0,58.0,SPT
42,B6T0000001104,123540.0,0.8431,4,9,1,1,26.0,57.99999999999999,123624.0,123656.0,116.0,SPT
52,B6T0000001104,123540.0,0.8431,4,9,2,1,26.0,57.99999999999999,123682.0,123714.0,174.0,SPT
53,B6T0000001104,123540.0,0.8431,4,9,2,1,26.0,57.99999999999999,123740.0,123772.0,232.0,SPT
1582,B6T0000001102,127620.0,0.0622,3,25,2,1,88.0,182.0,127708.0,127802.0,182.0,SPT
1580,B6T0000001102,127620.0,0.0622,3,25,2,1,88.0,182.0,127890.0,127984.0,364.0,SPT
3579,B6T0000000206,127740.0,0.0113,39,46,1,1,247.50000000000009,501.00000000000017,128231.5,128485.0,745.0,SPT
3522,B6T0000001764,128400.0,0.0119,46,8,1,1,107.0,220.0,128592.0,128705.0,305.0,SPT
3523,B6T0000001764,128400.0,0.0119,46,8,1,1,107.0,220.0,128812.0,128925.0,525.0,SPT
3578,B6T0000000206,127740.0,0.0113,39,46,1,1,247.50000000000009,501.00000000000017,129172.5,129426.0,1686.0,SPT
1046,B6T0000001052,130500.0,0.1066,5,18,1,1,64.0,134.0,130564.0,130634.0,134.0,SPT
1033,B6T0000001052,130500.0,0.1066,5,18,1,1,64.0,134.0,130698.0,130768.0,268.0,SPT
1034,B6T0000001052,130500.0,0.1066,5,18,2,1,64.0,134.0,130832.0,130902.0,402.0,SPT
1035,B6T0000001052,130500.0,0.1066,5,18,2,1,64.0,134.0,130966.0,131036.0,536.0,SPT
2523,B6T0000001186,135960.0,0.0273,9,31,1,1,124.00000000000004,254.00000000000009,136084.0,136214.0,254.0,SPT
2524,B6T0000001186,135960.0,0.0273,9,31,1,1,124.00000000000004,254.00000000000009,136338.0,136468.0,508.0,SPT
2520,B6T0000001186,135960.0,0.0273,9,31,2,1,124.00000000000004,254.00000000000009,136592.0,136722.0,762.0,SPT
2880,B6T0000001470,138120.0,0.0208,28,1,1,1,57.0,120.0,138177.0,138240.0,120.0,SPT
2881,B6T0000001470,138120.0,0.0208,28,1,1,1,57.0,120.0,138297.0,138360.0,240.0,SPT
2840,B6T0000001351,139740.0,0.0213,25,6,1,1,61.0,128.0,139801.0,139868.0,128.0,SPT
2841,B6T0000001351,139740.0,0.0213,25,6,1,1,61.0,128.0,139929.0,139996.0,256.0,SPT
2842,B6T0000001351,139740.0,0.0213,25,6,2,1,61.0,128.0,140057.0,140124.0,384.0,SPT
2843,B6T0000001351,139740.0,0.0213,25,6,2,1,61.0,128.0,140185.0,140252.0,512.0,SPT
557,B6T0000001827,140340.0,0.1846,3,4,1,1,13.0,32.0,140353.0,140372.0,32.0,SPT
556,B6T0000001827,140340.0,0.1846,3,4,1,1,13.0,32.0,140385.0,140404.0,64.0,SPT
555,B6T0000001827,140340.0,0.1846,3,4,2,1,13.0,32.0,140417.0,140436.0,96.0,SPT
551,B6T0000001827,140340.0,0.1846,3,4,2,1,13.0,32.0,140449.0,140468.0,128.0,SPT
2859,B6T0000000686,140400.0,0.021,28,18,2,1,110.0,226.0,140578.0,140694.0,294.0,SPT
2858,B6T0000000686,140400.0,0.021,28,18,2,1,110.0,226.0,140804.0,140920.0,520.0,SPT
3601,B6T0000000995,141240.0,0.0112,38,29,1,1,174.0,354.0,141414.0,141594.0,354.0,SPT
3600,B6T0000000995,141240.0,0.0112,38,29,1,1,174.0,354.0,141768.0,141948.0,708.0,SPT
74,B6T0000000261,143280.0,0.4826,1,43,1,1,156.50000000000009,319.00000000000017,143436.5,143599.0,319.0,SPT
81,B6T0000000261,143280.0,0.4826,1,43,1,1,156.50000000000009,319.00000000000017,143755.5,143918.0,638.0,SPT
72,B6T0000000261,143280.0,0.4826,1,43,2,1,156.50000000000009,319.00000000000017,144074.5,144237.0,957.0,SPT
73,B6T0000000261,143280.0,0.4826,1,43,2,1,156.50000000000009,319.00000000000017,144393.5,144556.0,1276.0,SPT
2419,B6T0000001130,172260.0,0.0302,3,35,1,1,128.00000000000006,262.0000000000001,172388.0,172522.0,262.0,SPT
360,B6T0000001370,172860.0,0.2001,2,5,1,1,13.0,32.0,172873.0,172892.0,32.0,SPT
362,B6T0000001370,172860.0,0.2001,2,5,1,1,13.0,32.0,172905.0,172924.0,64.0,SPT
361,B6T0000001370,172860.0,0.2001,2,5,2,1,13.0,32.0,172937.0,172956.0,96.0,SPT
352,B6T0000001370,172860.0,0.2001,2,5,2,1,13.0,32.0,172969.0,172988.0,128.0,SPT
2735,B6T0000000432,172860.0,0.0231,2,41,1,1,150.00000000000006,306.0000000000001,173138.0,173294.0,434.0,SPT
2733,B6T0000000432,172860.0,0.0231,2,41,1,1,150.00000000000006,306.0000000000001,173444.0,173600.0,740.0,SPT
1782,B6T0000001122,173520.0,0.054,6,24,1,1,90.00000000000001,186.00000000000003,173690.0,173786.0,266.0,SPT
1786,B6T0000001122,173520.0,0.054,6,24,1,1,90.00000000000001,186.00000000000003,173876.0,173972.0,452.0,SPT
1001,B6T0000001090,173940.0,0.1122,11,12,1,1,52.0,110.0,174024.0,174082.0,142.0,SPT
998,B6T0000001090,173940.0,0.1122,11,12,1,1,52.0,110.0,174134.0,174192.0,252.0,SPT
999,B6T0000001090,173940.0,0.1122,11,12,2,1,52.0,110.0,174244.0,174302.0,362.0,SPT
766,B6T0000000843,173880.0,0.1548,4,16,1,1,53.99999999999999,114.0,174356.0,174416.0,536.0,SPT
1785,B6T0000001122,173520.0,0.054,6,24,2,1,90.00000000000001,186.00000000000003,174506.0,174602.0,1082.0,SPT
1784,B6T0000001122,173520.0,0.054,6,24,2,1,90.00000000000001,186.00000000000003,174692.0,174788.0,1268.0,SPT
1178,B6T0000001103,174780.0,0.0925,3,21,1,1,72.00000000000001,150.00000000000003,174860.0,174938.0,158.0,SPT
1188,B6T0000001103,174780.0,0.0925,3,21,1,1,72.00000000000001,150.00000000000003,175010.0,175088.0,308.0,SPT
1187,B6T0000001103,174780.0,0.0925,3,21,2,1,72.00000000000001,150.00000000000003,175160.0,175238.0,458.0,SPT
1186,B6T0000001103,174780.0,0.0925,3,21,2,1,72.00000000000001,150.00000000000003,175310.0,175388.0,608.0,SPT
1729,B6T0000001429,175320.0,0.0559,10,1,1,1,21.0,48.0,175409.0,175436.0,116.0,SPT
1736,B6T0000001429,175320.0,0.0559,10,1,1,1,21.0,48.0,175457.0,175484.0,164.0,SPT
471,B6T0000001382,175440.0,0.1892,4,2,1,1,11.0,28.0,175495.0,175512.0,72.0,SPT
481,B6T0000001382,175440.0,0.1892,4,2,1,1,11.0,28.0,175523.0,175540.0,100.0,SPT
477,B6T0000001382,175440.0,0.1892,4,2,2,1,11.0,28.0,175551.0,175568.0,128.0,SPT
473,B6T0000001382,175440.0,0.1892,4,2,2,1,11.0,28.0,175579.0,175596.0,156.0,SPT
1909,B6T0000000403,173760.0,0.0445,3,29,1,1,104.0,214.00000000000003,175700.0,175810.0,2050.0,SPT
1910,B6T0000000403,173760.0,0.0445,3,29,1,1,104.0,214.00000000000003,175914.0,176024.0,2264.0,SPT
1911,B6T0000000403,173760.0,0.0445,3,29,2,1,104.0,214.00000000000003,176128.0,176238.0,2478.0,SPT
1912,B6T0000000403,173760.0,0.0445,3,29,2,1,104.0,214.00000000000003,176342.0,176452.0,2692.0,SPT
3084,B6T0000001138,172920.0,0.0179,10,39,1,1,158.00000000000006,322.0000000000001,176610.0,176774.0,3854.0,SPT
2608,B6T0000000322,184800.0,0.0254,4,37,1,1,138.00000000000006,282.0000000000001,184938.0,185082.0,282.0,SPT
2611,B6T0000000322,184800.0,0.0254,4,37,1,1,138.00000000000006,282.0000000000001,185220.0,185364.0,564.0,SPT
1425,B6T0000000947,188340.0,0.0705,14,13,1,1,62.0,130.0,188402.0,188470.0,130.0,SPT
1427,B6T0000000947,188340.0,0.0705,14,13,1,1,62.0,130.0,188532.0,188600.0,260.0,SPT
1424,B6T0000000947,188340.0,0.0705,14,13,2,1,62.0,130.0,188662.0,188730.0,390.0,SPT
1423,B6T0000000947,188340.0,0.0705,14,13,2,1,62.0,130.0,188792.0,188860.0,520.0,SPT
200,B6T0000000932,190140.0,0.3317,8,9,1,1,34.0,74.0,190174.0,190214.0,74.0,SPT
199,B6T0000000932,190140.0,0.3317,8,9,1,1,34.0,74.0,190248.0,190288.0,148.0,SPT
203,B6T0000000932,190140.0,0.3317,8,9,2,1,34.0,74.0,190322.0,190362.0,222.0,SPT
204,B6T0000000932,190140.0,0.3317,8,9,2,1,34.0,74.0,190396.0,190436.0,296.0,SPT
2815,B6T0000000054,192360.0,0.0221,15,49,1,1,214.50000000000009,435.00000000000017,192574.5,192795.0,435.0,SPT
2813,B6T0000000054,192360.0,0.0221,15,49,1,1,214.50000000000009,435.00000000000017,193009.5,193230.0,870.0,SPT
2814,B6T0000000054,192360.0,0.0221,15,49,2,1,214.50000000000009,435.00000000000017,193444.5,193665.0,1305.0,SPT
2812,B6T0000000054,192360.0,0.0221,15,49,2,1,214.50000000000009,435.00000000000017,193879.5,194100.0,1740.0,SPT
1709,B6T0000001409,193980.0,0.056,7,6,1,1,25.0,56.0,194125.0,194156.0,176.0,SPT
1711,B6T0000001409,193980.0,0.056,7,6,1,1,25.0,56.0,194181.0,194212.0,232.0,SPT
1716,B6T0000001409,193980.0,0.056,7,6,2,1,25.0,56.0,194237.0,194268.0,288.0,SPT
1713,B6T0000001409,193980.0,0.056,7,6,2,1,25.0,56.0,194293.0,194324.0,344.0,SPT
2829,B6T0000000816,193680.0,0.0218,27,18,2,1,108.0,222.0,194432.0,194546.0,866.0,SPT
902,B6T0000000411,194340.0,0.1258,6,15,1,1,53.99999999999999,114.0,194600.0,194660.0,320.0,SPT
904,B6T0000000411,194340.0,0.1258,6,15,1,1,53.99999999999999,114.0,194714.0,194774.0,434.0,SPT
906,B6T0000000411,194340.0,0.1258,6,15,2,1,53.99999999999999,114.0,194828.0,194888.0,548.0,SPT
908,B6T0000000411,194340.0,0.1258,6,15,2,1,53.99999999999999,114.0,194942.0,195002.0,662.0,SPT
2828,B6T0000000816,193680.0,0.0218,27,18,2,1,108.0,222.0,195110.0,195224.0,1544.0,SPT
2485,B6T0000000435,194520.0,0.0283,2,37,1,1,134.00000000000006,274.0000000000001,195358.0,195498.0,978.0,SPT
1498,B6T0000000905,195420.0,0.0665,13,15,1,1,68.0,142.0,195566.0,195640.0,220.0,SPT
1495,B6T0000000905,195420.0,0.0665,13,15,1,1,68.0,142.0,195708.0,195782.0,362.0,SPT
1497,B6T0000000905,195420.0,0.0665,13,15,2,1,68.0,142.0,195850.0,195924.0,504.0,SPT
1496,B6T0000000905,195420.0,0.0665,13,15,2,1,68.0,142.0,195992.0,196066.0,646.0,SPT
1348,B6T0000001367,198720.0,0.0763,6,4,1,1,19.0,44.0,198739.0,198764.0,44.0,SPT
1349,B6T0000001367,198720.0,0.0763,6,4,1,1,19.0,44.0,198783.0,198808.0,88.0,SPT
1350,B6T0000001367,198720.0,0.0763,6,4,2,1,19.0,44.0,198827.0,198852.0,132.0,SPT
1347,B6T0000001367,198720.0,0.0763,6,4,2,1,19.0,44.0,198871.0,198896.0,176.0,SPT
1149,B6T0000000395,202320.0,0.0958,7,17,1,1,64.0,134.0,202384.0,202454.0,134.0,SPT
1150,B6T0000000395,202320.0,0.0958,7,17,1,1,64.0,134.0,202518.0,202588.0,268.0,SPT
815,B6T0000001427,203700.0,0.1296,3,6,1,1,17.0,40.0,203717.0,203740.0,40.0,SPT
1682,B6T0000001195,213720.0,0.0572,1,28,1,1,96.0,198.00000000000003,213816.0,213918.0,198.0,SPT
1681,B6T0000001195,213720.0,0.0572,1,28,1,1,96.0,198.00000000000003,214014.0,214116.0,396.0,SPT
1686,B6T0000001195,213720.0,0.0572,1,28,2,1,96.0,198.00000000000003,214212.0,214314.0,594.0,SPT
992,B6T0000001090,215940.0,0.1122,11,12,2,1,52.0,110.0,215992.0,216050.0,110.0,SPT
326,B6T0000001196,216240.0,0.2132,5,13,1,1,44.0,94.0,216284.0,216334.0,94.0,SPT
325,B6T0000001196,216240.0,0.2132,5,13,1,1,44.0,94.0,216378.0,216428.0,188.0,SPT
317,B6T0000001196,216240.0,0.2132,5,13,2,1,44.0,94.0,216472.0,216522.0,282.0,SPT
320,B6T0000001196,216240.0,0.2132,5,13,2,1,44.0,94.0,216566.0,216616.0,376.0,SPT
3711,B6T0000001300,223260.0,0.0106,45,25,1,1,172.0,350.0,223432.0,223610.0,350.0,SPT
3710,B6T0000001300,223260.0,0.0106,45,25,1,1,172.0,350.0,223782.0,223960.0,700.0,SPT
3315,B6T0000000135,224700.0,0.0143,24,50,1,1,237.50000000000009,481.00000000000017,224937.5,225181.0,481.0,SPT
3314,B6T0000000135,224700.0,0.0143,24,50,1,1,237.50000000000009,481.00000000000017,225418.5,225662.0,962.0,SPT
3081,B6T0000001354,258960.0,0.018,31,4,2,1,69.0,144.0,259029.0,259104.0,144.0,SPT
3080,B6T0000001354,258960.0,0.018,31,4,2,1,69.0,144.0,259173.0,259248.0,288.0,SPT
175,B6T0000000810,259200.0,0.3397,1,15,1,1,43.99999999999999,94.0,259292.0,259342.0,142.0,SPT
154,B6T0000000810,259200.0,0.3397,1,15,1,1,43.99999999999999,94.0,259386.0,259436.0,236.0,SPT
165,B6T0000000810,259200.0,0.3397,1,15,2,1,43.99999999999999,94.0,259480.0,259530.0,330.0,SPT
152,B6T0000000810,259200.0,0.3397,1,15,2,1,43.99999999999999,94.0,259574.0,259624.0,424.0,SPT
685,B6T0000001180,259560.0,0.1614,9,11,1,1,44.0,94.0,259668.0,259718.0,158.0,SPT
684,B6T0000001180,259560.0,0.1614,9,11,1,1,44.0,94.0,259762.0,259812.0,252.0,SPT
683,B6T0000001180,259560.0,0.1614,9,11,2,1,44.0,94.0,259856.0,259906.0,346.0,SPT
682,B6T0000001180,259560.0,0.1614,9,11,2,1,44.0,94.0,259950.0,260000.0,440.0,SPT
1600,B6T0000001610,259920.0,0.0606,7,4,1,1,21.0,48.0,260021.0,260048.0,128.0,SPT
1601,B6T0000001610,259920.0,0.0606,7,4,1,1,21.0,48.0,260069.0,260096.0,176.0,SPT
1602,B6T0000001610,259920.0,0.0606,7,4,2,1,21.0,48.0,260117.0,260144.0,224.0,SPT
1603,B6T0000001610,259920.0,0.0606,7,4,2,1,21.0,48.0,260165.0,260192.0,272.0,SPT
2708,B6T0000001818,259140.0,0.0234,24,2,1,1,51.00000000000001,108.0,260243.0,260300.0,1160.0,SPT
2709,B6T0000001818,259140.0,0.0234,24,2,1,1,51.00000000000001,108.0,260351.0,260408.0,1268.0,SPT
2710,B6T0000001818,259140.0,0.0234,24,2,2,1,51.00000000000001,108.0,260459.0,260516.0,1376.0,SPT
2711,B6T0000001818,259140.0,0.0234,24,2,2,1,51.00000000000001,108.0,260567.0,260624.0,1484.0,SPT
2327,B6T0000000447,260460.0,0.0332,17,20,1,1,96.0,198.0,260720.0,260822.0,362.0,SPT
2330,B6T0000000447,260460.0,0.0332,17,20,1,1,96.0,198.0,260918.0,261020.0,560.0,SPT
2328,B6T0000000447,260460.0,0.0332,17,20,2,1,96.0,198.0,261116.0,261218.0,758.0,SPT
2331,B6T0000000447,260460.0,0.0332,17,20,2,1,96.0,198.0,261314.0,261416.0,956.0,SPT
2386,B6T0000000719,260100.0,0.0309,9,29,1,1,116.0,238.00000000000003,261532.0,261654.0,1554.0,SPT
2385,B6T0000000719,260100.0,0.0309,9,29,1,1,116.0,238.00000000000003,261770.0,261892.0,1792.0,SPT
2388,B6T0000000719,260100.0,0.0309,9,29,2,1,116.0,238.00000000000003,262008.0,262130.0,2030.0,SPT
2389,B6T0000000719,260100.0,0.0309,9,29,2,1,116.0,238.00000000000003,262246.0,262368.0,2268.0,SPT
284,B6T0000000305,261540.0,0.2304,2,44,1,1,163.50000000000009,333.00000000000017,262531.5,262701.0,1161.0,SPT
286,B6T0000000305,261540.0,0.2304,2,44,1,1,163.50000000000009,333.00000000000017,262864.5,263034.0,1494.0,SPT
287,B6T0000000305,261540.0,0.2304,2,44,2,1,163.50000000000009,333.00000000000017,263197.5,263367.0,1827.0,SPT
288,B6T0000000305,261540.0,0.2304,2,44,2,1,163.50000000000009,333.00000000000017,263530.5,263700.0,2160.0,SPT
3634,B6T0000000476,259320.0,0.011,43,25,2,1,168.0,342.0,263868.0,264042.0,4722.0,SPT
3635,B6T0000000476,259320.0,0.011,43,25,2,1,168.0,342.0,264210.0,264384.0,5064.0,SPT
