订单号,原材料号,到达时间(s),消耗占比,列坐标,层坐标,货架号,巷道号,单程时间(s),总运输时间(s),开始时刻(s),完成时刻(s),流动时间(s)
396,B6T0000000471,88500.0,0.1917,1,17,2,1,52.0,110.0,88772.0,88830.0,330.0
397,B6T0000000471,88500.0,0.1917,1,17,2,1,52.0,110.0,88882.0,88940.0,440.0
2129,B6T0000000727,88800.0,0.0388,18,17,1,1,86.0,178.0,89026.0,89118.0,318.0
2133,B6T0000000727,88800.0,0.0388,18,17,1,1,86.0,178.0,89204.0,89296.0,496.0
2131,B6T0000000727,88800.0,0.0388,18,17,2,1,86.0,178.0,89382.0,89474.0,674.0
2130,B6T0000000727,88800.0,0.0388,18,17,2,1,86.0,178.0,89560.0,89652.0,852.0
2950,B6T0000001640,89040.0,0.0198,26,7,1,1,65.0,136.0,89717.0,89788.0,748.0
2986,B6T0000001732,89280.0,0.0193,28,5,2,1,65.0,136.0,89853.0,89924.0,644.0
2988,B6T0000001732,89280.0,0.0193,28,5,2,1,65.0,136.0,89989.0,90060.0,780.0
3406,B6T0000000663,92340.0,0.013,29,31,1,1,164.00000000000003,334.00000000000006,92504.0,92674.0,334.0
3407,B6T0000000663,92340.0,0.013,29,31,1,1,164.00000000000003,334.00000000000006,92838.0,93008.0,668.0
1316,B6T0000000836,97500.0,0.0806,14,12,1,1,58.0,122.0,97558.0,97622.0,122.0
1315,B6T0000000836,97500.0,0.0806,14,12,1,1,58.0,122.0,97680.0,97744.0,244.0
1314,B6T0000000836,97500.0,0.0806,14,12,2,1,58.0,122.0,97802.0,97866.0,366.0
1308,B6T0000000836,97500.0,0.0806,14,12,2,1,58.0,122.0,97924.0,97988.0,488.0
2928,B6T0000000048,100380.0,0.02,19,47,1,1,212.50000000000009,431.00000000000017,100592.5,100811.0,431.0
2927,B6T0000000048,100380.0,0.02,19,47,1,1,212.50000000000009,431.00000000000017,101023.5,101242.0,862.0
2926,B6T0000000048,100380.0,0.02,19,47,2,1,212.50000000000009,431.00000000000017,101454.5,101673.0,1293.0
933,B6T0000000508,105960.0,0.1252,2,19,1,1,62.00000000000001,130.0,106022.0,106090.0,130.0
934,B6T0000000508,105960.0,0.1252,2,19,1,1,62.00000000000001,130.0,106152.0,106220.0,260.0
935,B6T0000000508,105960.0,0.1252,2,19,2,1,62.00000000000001,130.0,106282.0,106350.0,390.0
1060,B6T0000001185,106140.0,0.1039,3,20,1,1,68.00000000000001,142.00000000000003,106418.0,106492.0,352.0
1061,B6T0000001185,106140.0,0.1039,3,20,1,1,68.00000000000001,142.00000000000003,106560.0,106634.0,494.0
1062,B6T0000001185,106140.0,0.1039,3,20,2,1,68.00000000000001,142.00000000000003,106702.0,106776.0,636.0
1063,B6T0000001185,106140.0,0.1039,3,20,2,1,68.00000000000001,142.00000000000003,106844.0,106918.0,778.0
3715,B6T0000001576,106980.0,0.0106,56,4,1,1,119.0,244.0,107099.0,107224.0,244.0
3714,B6T0000001576,106980.0,0.0106,56,4,1,1,119.0,244.0,107343.0,107468.0,488.0
2629,B6T0000000942,108180.0,0.0249,25,17,1,1,100.0,206.0,108280.0,108386.0,206.0
2630,B6T0000000942,108180.0,0.0249,25,17,1,1,100.0,206.0,108486.0,108592.0,412.0
2961,B6T0000001529,110460.0,0.0197,28,4,2,1,63.0,132.0,110523.0,110592.0,132.0
2959,B6T0000001529,110460.0,0.0197,28,4,2,1,63.0,132.0,110655.0,110724.0,264.0
2574,B6T0000000647,111540.0,0.0267,26,15,1,1,94.0,194.0,111634.0,111734.0,194.0
563,B6T0000001238,113400.0,0.1832,3,16,1,1,51.99999999999999,109.99999999999999,113452.0,113510.0,110.0
562,B6T0000001238,113400.0,0.1832,3,16,2,1,51.99999999999999,109.99999999999999,113562.0,113620.0,220.0
560,B6T0000001238,113400.0,0.1832,3,16,2,1,51.99999999999999,109.99999999999999,113672.0,113730.0,330.0
50,B6T0000001104,123540.0,0.8431,4,9,1,1,25.999999999999996,57.99999999999999,123566.0,123598.0,58.0
42,B6T0000001104,123540.0,0.8431,4,9,1,1,25.999999999999996,57.99999999999999,123624.0,123656.0,116.0
52,B6T0000001104,123540.0,0.8431,4,9,2,1,25.999999999999996,57.99999999999999,123682.0,123714.0,174.0
53,B6T0000001104,123540.0,0.8431,4,9,2,1,25.999999999999996,57.99999999999999,123740.0,123772.0,232.0
1582,B6T0000001102,127620.0,0.0622,3,25,2,1,88.0,182.0,127708.0,127802.0,182.0
1580,B6T0000001102,127620.0,0.0622,3,25,2,1,88.0,182.0,127890.0,127984.0,364.0
3579,B6T0000000206,127740.0,0.0113,39,46,1,1,247.50000000000009,501.00000000000017,128231.5,128485.0,745.0
3522,B6T0000001764,128400.0,0.0119,46,8,1,1,107.0,220.0,128592.0,128705.0,305.0
3523,B6T0000001764,128400.0,0.0119,46,8,1,1,107.0,220.0,128812.0,128925.0,525.0
3578,B6T0000000206,127740.0,0.0113,39,46,1,1,247.50000000000009,501.00000000000017,129172.5,129426.0,1686.0
1046,B6T0000001052,130500.0,0.1066,5,18,1,1,64.0,134.0,130564.0,130634.0,134.0
1033,B6T0000001052,130500.0,0.1066,5,18,1,1,64.0,134.0,130698.0,130768.0,268.0
1034,B6T0000001052,130500.0,0.1066,5,18,2,1,64.0,134.0,130832.0,130902.0,402.0
1035,B6T0000001052,130500.0,0.1066,5,18,2,1,64.0,134.0,130966.0,131036.0,536.0
2523,B6T0000001186,135960.0,0.0273,9,31,1,1,124.00000000000003,254.00000000000006,136084.0,136214.0,254.0
2524,B6T0000001186,135960.0,0.0273,9,31,1,1,124.00000000000003,254.00000000000006,136338.0,136468.0,508.0
2520,B6T0000001186,135960.0,0.0273,9,31,2,1,124.00000000000003,254.00000000000006,136592.0,136722.0,762.0
2880,B6T0000001470,138120.0,0.0208,28,1,1,1,57.0,120.0,138177.0,138240.0,120.0
2881,B6T0000001470,138120.0,0.0208,28,1,1,1,57.0,120.0,138297.0,138360.0,240.0
2840,B6T0000001351,139740.0,0.0213,25,6,1,1,61.0,128.0,139801.0,139868.0,128.0
2841,B6T0000001351,139740.0,0.0213,25,6,1,1,61.0,128.0,139929.0,139996.0,256.0
2842,B6T0000001351,139740.0,0.0213,25,6,2,1,61.0,128.0,140057.0,140124.0,384.0
2843,B6T0000001351,139740.0,0.0213,25,6,2,1,61.0,128.0,140185.0,140252.0,512.0
557,B6T0000001827,140340.0,0.1846,3,4,1,1,13.0,32.0,140353.0,140372.0,32.0
556,B6T0000001827,140340.0,0.1846,3,4,1,1,13.0,32.0,140385.0,140404.0,64.0
555,B6T0000001827,140340.0,0.1846,3,4,2,1,13.0,32.0,140417.0,140436.0,96.0
551,B6T0000001827,140340.0,0.1846,3,4,2,1,13.0,32.0,140449.0,140468.0,128.0
2859,B6T0000000686,140400.0,0.021,28,18,2,1,110.0,226.0,140578.0,140694.0,294.0
2858,B6T0000000686,140400.0,0.021,28,18,2,1,110.0,226.0,140804.0,140920.0,520.0
3601,B6T0000000995,141240.0,0.0112,38,29,1,1,174.0,354.0,141414.0,141594.0,354.0
3600,B6T0000000995,141240.0,0.0112,38,29,1,1,174.0,354.0,141768.0,141948.0,708.0
74,B6T0000000261,143280.0,0.4826,1,43,1,1,156.50000000000009,319.00000000000017,143436.5,143599.0,319.0
81,B6T0000000261,143280.0,0.4826,1,43,1,1,156.50000000000009,319.00000000000017,143755.5,143918.0,638.0
72,B6T0000000261,143280.0,0.4826,1,43,2,1,156.50000000000009,319.00000000000017,144074.5,144237.0,957.0
73,B6T0000000261,143280.0,0.4826,1,43,2,1,156.50000000000009,319.00000000000017,144393.5,144556.0,1276.0
2419,B6T0000001130,172260.0,0.0302,3,35,1,1,128.00000000000006,262.0000000000001,172388.0,172522.0,262.0
360,B6T0000001370,172860.0,0.2001,2,5,1,1,13.0,32.0,172873.0,172892.0,32.0
362,B6T0000001370,172860.0,0.2001,2,5,1,1,13.0,32.0,172905.0,172924.0,64.0
361,B6T0000001370,172860.0,0.2001,2,5,2,1,13.0,32.0,172937.0,172956.0,96.0
352,B6T0000001370,172860.0,0.2001,2,5,2,1,13.0,32.0,172969.0,172988.0,128.0
2735,B6T0000000432,172860.0,0.0231,2,41,1,1,150.00000000000006,306.0000000000001,173138.0,173294.0,434.0
2733,B6T0000000432,172860.0,0.0231,2,41,1,1,150.00000000000006,306.0000000000001,173444.0,173600.0,740.0
1782,B6T0000001122,173520.0,0.054,6,24,1,1,90.00000000000001,186.00000000000003,173690.0,173786.0,266.0
1786,B6T0000001122,173520.0,0.054,6,24,1,1,90.00000000000001,186.00000000000003,173876.0,173972.0,452.0
766,B6T0000000843,173880.0,0.1548,4,16,1,1,53.99999999999999,113.99999999999999,174026.0,174086.0,206.0
1001,B6T0000001090,173940.0,0.1122,11,12,1,1,52.0,110.0,174138.0,174196.0,256.0
998,B6T0000001090,173940.0,0.1122,11,12,1,1,52.0,110.0,174248.0,174306.0,366.0
999,B6T0000001090,173940.0,0.1122,11,12,2,1,52.0,110.0,174358.0,174416.0,476.0
1785,B6T0000001122,173520.0,0.054,6,24,2,1,90.00000000000001,186.00000000000003,174506.0,174602.0,1082.0
1784,B6T0000001122,173520.0,0.054,6,24,2,1,90.00000000000001,186.00000000000003,174692.0,174788.0,1268.0
1178,B6T0000001103,174780.0,0.0925,3,21,1,1,72.00000000000001,150.00000000000003,174860.0,174938.0,158.0
1188,B6T0000001103,174780.0,0.0925,3,21,1,1,72.00000000000001,150.00000000000003,175010.0,175088.0,308.0
1187,B6T0000001103,174780.0,0.0925,3,21,2,1,72.00000000000001,150.00000000000003,175160.0,175238.0,458.0
1186,B6T0000001103,174780.0,0.0925,3,21,2,1,72.00000000000001,150.00000000000003,175310.0,175388.0,608.0
1729,B6T0000001429,175320.0,0.0559,10,1,1,1,21.0,48.0,175409.0,175436.0,116.0
1736,B6T0000001429,175320.0,0.0559,10,1,1,1,21.0,48.0,175457.0,175484.0,164.0
471,B6T0000001382,175440.0,0.1892,4,2,1,1,11.0,28.0,175495.0,175512.0,72.0
481,B6T0000001382,175440.0,0.1892,4,2,1,1,11.0,28.0,175523.0,175540.0,100.0
477,B6T0000001382,175440.0,0.1892,4,2,2,1,11.0,28.0,175551.0,175568.0,128.0
473,B6T0000001382,175440.0,0.1892,4,2,2,1,11.0,28.0,175579.0,175596.0,156.0
1909,B6T0000000403,173760.0,0.0445,3,29,1,1,104.00000000000001,214.00000000000003,175700.0,175810.0,2050.0
1910,B6T0000000403,173760.0,0.0445,3,29,1,1,104.00000000000001,214.00000000000003,175914.0,176024.0,2264.0
1911,B6T0000000403,173760.0,0.0445,3,29,2,1,104.00000000000001,214.00000000000003,176128.0,176238.0,2478.0
1912,B6T0000000403,173760.0,0.0445,3,29,2,1,104.00000000000001,214.00000000000003,176342.0,176452.0,2692.0
3084,B6T0000001138,172920.0,0.0179,10,39,1,1,158.00000000000006,322.0000000000001,176610.0,176774.0,3854.0
2608,B6T0000000322,184800.0,0.0254,4,37,1,1,138.00000000000006,282.0000000000001,184938.0,185082.0,282.0
2611,B6T0000000322,184800.0,0.0254,4,37,1,1,138.00000000000006,282.0000000000001,185220.0,185364.0,564.0
1425,B6T0000000947,188340.0,0.0705,14,13,1,1,62.0,130.0,188402.0,188470.0,130.0
1427,B6T0000000947,188340.0,0.0705,14,13,1,1,62.0,130.0,188532.0,188600.0,260.0
1424,B6T0000000947,188340.0,0.0705,14,13,2,1,62.0,130.0,188662.0,188730.0,390.0
1423,B6T0000000947,188340.0,0.0705,14,13,2,1,62.0,130.0,188792.0,188860.0,520.0
200,B6T0000000932,190140.0,0.3317,8,9,1,1,34.0,74.0,190174.0,190214.0,74.0
199,B6T0000000932,190140.0,0.3317,8,9,1,1,34.0,74.0,190248.0,190288.0,148.0
203,B6T0000000932,190140.0,0.3317,8,9,2,1,34.0,74.0,190322.0,190362.0,222.0
204,B6T0000000932,190140.0,0.3317,8,9,2,1,34.0,74.0,190396.0,190436.0,296.0
2815,B6T0000000054,192360.0,0.0221,15,49,1,1,214.50000000000009,435.00000000000017,192574.5,192795.0,435.0
2813,B6T0000000054,192360.0,0.0221,15,49,1,1,214.50000000000009,435.00000000000017,193009.5,193230.0,870.0
2814,B6T0000000054,192360.0,0.0221,15,49,2,1,214.50000000000009,435.00000000000017,193444.5,193665.0,1305.0
2812,B6T0000000054,192360.0,0.0221,15,49,2,1,214.50000000000009,435.00000000000017,193879.5,194100.0,1740.0
1709,B6T0000001409,193980.0,0.056,7,6,1,1,25.0,56.0,194125.0,194156.0,176.0
1711,B6T0000001409,193980.0,0.056,7,6,1,1,25.0,56.0,194181.0,194212.0,232.0
1716,B6T0000001409,193980.0,0.056,7,6,2,1,25.0,56.0,194237.0,194268.0,288.0
1713,B6T0000001409,193980.0,0.056,7,6,2,1,25.0,56.0,194293.0,194324.0,344.0
2829,B6T0000000816,193680.0,0.0218,27,18,2,1,108.0,222.0,194432.0,194546.0,866.0
902,B6T0000000411,194340.0,0.1258,6,15,1,1,53.99999999999999,113.99999999999999,194600.0,194660.0,320.0
904,B6T0000000411,194340.0,0.1258,6,15,1,1,53.99999999999999,113.99999999999999,194714.0,194774.0,434.0
906,B6T0000000411,194340.0,0.1258,6,15,2,1,53.99999999999999,113.99999999999999,194828.0,194888.0,548.0
908,B6T0000000411,194340.0,0.1258,6,15,2,1,53.99999999999999,113.99999999999999,194942.0,195002.0,662.0
2485,B6T0000000435,194520.0,0.0283,2,37,1,1,134.00000000000006,274.0000000000001,195136.0,195276.0,756.0
2828,B6T0000000816,193680.0,0.0218,27,18,2,1,108.0,222.0,195384.0,195498.0,1818.0
1498,B6T0000000905,195420.0,0.0665,13,15,1,1,68.0,142.0,195566.0,195640.0,220.0
1495,B6T0000000905,195420.0,0.0665,13,15,1,1,68.0,142.0,195708.0,195782.0,362.0
1497,B6T0000000905,195420.0,0.0665,13,15,2,1,68.0,142.0,195850.0,195924.0,504.0
1496,B6T0000000905,195420.0,0.0665,13,15,2,1,68.0,142.0,195992.0,196066.0,646.0
1348,B6T0000001367,198720.0,0.0763,6,4,1,1,19.0,44.0,198739.0,198764.0,44.0
1349,B6T0000001367,198720.0,0.0763,6,4,1,1,19.0,44.0,198783.0,198808.0,88.0
1350,B6T0000001367,198720.0,0.0763,6,4,2,1,19.0,44.0,198827.0,198852.0,132.0
1347,B6T0000001367,198720.0,0.0763,6,4,2,1,19.0,44.0,198871.0,198896.0,176.0
1149,B6T0000000395,202320.0,0.0958,7,17,1,1,64.0,134.0,202384.0,202454.0,134.0
1150,B6T0000000395,202320.0,0.0958,7,17,1,1,64.0,134.0,202518.0,202588.0,268.0
815,B6T0000001427,203700.0,0.1296,3,6,1,1,17.0,40.0,203717.0,203740.0,40.0
1682,B6T0000001195,213720.0,0.0572,1,28,1,1,96.00000000000001,198.00000000000003,213816.0,213918.0,198.0
1681,B6T0000001195,213720.0,0.0572,1,28,1,1,96.00000000000001,198.00000000000003,214014.0,214116.0,396.0
1686,B6T0000001195,213720.0,0.0572,1,28,2,1,96.00000000000001,198.00000000000003,214212.0,214314.0,594.0
992,B6T0000001090,215940.0,0.1122,11,12,2,1,52.0,110.0,215992.0,216050.0,110.0
326,B6T0000001196,216240.0,0.2132,5,13,1,1,44.0,94.0,216284.0,216334.0,94.0
325,B6T0000001196,216240.0,0.2132,5,13,1,1,44.0,94.0,216378.0,216428.0,188.0
317,B6T0000001196,216240.0,0.2132,5,13,2,1,44.0,94.0,216472.0,216522.0,282.0
320,B6T0000001196,216240.0,0.2132,5,13,2,1,44.0,94.0,216566.0,216616.0,376.0
3711,B6T0000001300,223260.0,0.0106,45,25,1,1,172.0,350.0,223432.0,223610.0,350.0
3710,B6T0000001300,223260.0,0.0106,45,25,1,1,172.0,350.0,223782.0,223960.0,700.0
3315,B6T0000000135,224700.0,0.0143,24,50,1,1,237.50000000000009,481.00000000000017,224937.5,225181.0,481.0
3314,B6T0000000135,224700.0,0.0143,24,50,1,1,237.50000000000009,481.00000000000017,225418.5,225662.0,962.0
3081,B6T0000001354,258960.0,0.018,31,4,2,1,69.0,144.0,259029.0,259104.0,144.0
3080,B6T0000001354,258960.0,0.018,31,4,2,1,69.0,144.0,259173.0,259248.0,288.0
175,B6T0000000810,259200.0,0.3397,1,15,1,1,43.99999999999999,93.99999999999999,259292.0,259342.0,142.0
154,B6T0000000810,259200.0,0.3397,1,15,1,1,43.99999999999999,93.99999999999999,259386.0,259436.0,236.0
165,B6T0000000810,259200.0,0.3397,1,15,2,1,43.99999999999999,93.99999999999999,259480.0,259530.0,330.0
152,B6T0000000810,259200.0,0.3397,1,15,2,1,43.99999999999999,93.99999999999999,259574.0,259624.0,424.0
685,B6T0000001180,259560.0,0.1614,9,11,1,1,44.0,94.0,259668.0,259718.0,158.0
684,B6T0000001180,259560.0,0.1614,9,11,1,1,44.0,94.0,259762.0,259812.0,252.0
683,B6T0000001180,259560.0,0.1614,9,11,2,1,44.0,94.0,259856.0,259906.0,346.0
682,B6T0000001180,259560.0,0.1614,9,11,2,1,44.0,94.0,259950.0,260000.0,440.0
1600,B6T0000001610,259920.0,0.0606,7,4,1,1,21.0,48.0,260021.0,260048.0,128.0
1601,B6T0000001610,259920.0,0.0606,7,4,1,1,21.0,48.0,260069.0,260096.0,176.0
1602,B6T0000001610,259920.0,0.0606,7,4,2,1,21.0,48.0,260117.0,260144.0,224.0
1603,B6T0000001610,259920.0,0.0606,7,4,2,1,21.0,48.0,260165.0,260192.0,272.0
2231,B6T0000000051,259500.0,0.0359,11,46,2,1,191.50000000000009,389.00000000000017,260383.5,260581.0,1081.0
2230,B6T0000000051,259500.0,0.0359,11,46,2,1,191.50000000000009,389.00000000000017,260772.5,260970.0,1470.0
2327,B6T0000000447,260460.0,0.0332,17,20,1,1,96.0,198.0,261066.0,261168.0,708.0
2330,B6T0000000447,260460.0,0.0332,17,20,1,1,96.0,198.0,261264.0,261366.0,906.0
2328,B6T0000000447,260460.0,0.0332,17,20,2,1,96.0,198.0,261462.0,261564.0,1104.0
284,B6T0000000305,261540.0,0.2304,2,44,1,1,163.50000000000009,333.00000000000017,261727.5,261897.0,357.0
286,B6T0000000305,261540.0,0.2304,2,44,1,1,163.50000000000009,333.00000000000017,262060.5,262230.0,690.0
287,B6T0000000305,261540.0,0.2304,2,44,2,1,163.50000000000009,333.00000000000017,262393.5,262563.0,1023.0
288,B6T0000000305,261540.0,0.2304,2,44,2,1,163.50000000000009,333.00000000000017,262726.5,262896.0,1356.0
2331,B6T0000000447,260460.0,0.0332,17,20,2,1,96.0,198.0,262992.0,263094.0,2634.0
2386,B6T0000000719,260100.0,0.0309,9,29,1,1,116.00000000000001,238.00000000000003,263210.0,263332.0,3232.0
2385,B6T0000000719,260100.0,0.0309,9,29,1,1,116.00000000000001,238.00000000000003,263448.0,263570.0,3470.0
2388,B6T0000000719,260100.0,0.0309,9,29,2,1,116.00000000000001,238.00000000000003,263686.0,263808.0,3708.0
2389,B6T0000000719,260100.0,0.0309,9,29,2,1,116.00000000000001,238.00000000000003,263924.0,264046.0,3946.0
2708,B6T0000001818,259140.0,0.0234,24,2,1,1,51.00000000000001,108.00000000000001,264097.0,264154.0,5014.0
2709,B6T0000001818,259140.0,0.0234,24,2,1,1,51.00000000000001,108.00000000000001,264205.0,264262.0,5122.0
2710,B6T0000001818,259140.0,0.0234,24,2,2,1,51.00000000000001,108.00000000000001,264313.0,264370.0,5230.0
2711,B6T0000001818,259140.0,0.0234,24,2,2,1,51.00000000000001,108.00000000000001,264421.0,264478.0,5338.0
3476,B6T0000000592,260700.0,0.0122,21,41,2,1,188.00000000000006,382.0000000000001,264666.0,264860.0,4160.0
3477,B6T0000000592,260700.0,0.0122,21,41,2,1,188.00000000000006,382.0000000000001,265048.0,265242.0,4542.0
3634,B6T0000000476,259320.0,0.011,43,25,2,1,168.0,342.0,265410.0,265584.0,6264.0
3635,B6T0000000476,259320.0,0.011,43,25,2,1,168.0,342.0,265752.0,265926.0,6606.0
3551,B6T0000000090,267840.0,0.0115,42,43,1,1,238.50000000000009,483.00000000000017,268078.5,268323.0,483.0
3550,B6T0000000090,267840.0,0.0115,42,43,1,1,238.50000000000009,483.00000000000017,268561.5,268806.0,966.0
3166,B6T0000000904,271500.0,0.0163,30,22,1,1,130.0,266.0,271630.0,271766.0,266.0
3096,B6T0000001025,271680.0,0.0177,30,20,2,1,122.0,250.0,271888.0,272016.0,336.0
3095,B6T0000001025,271680.0,0.0177,30,20,2,1,122.0,250.0,272138.0,272266.0,586.0
3167,B6T0000000904,271500.0,0.0163,30,22,1,1,130.0,266.0,272396.0,272532.0,1032.0
3168,B6T0000000904,271500.0,0.0163,30,22,2,1,130.0,266.0,272662.0,272798.0,1298.0
2780,B6T0000000204,276960.0,0.0225,21,44,2,1,201.50000000000009,409.00000000000017,277161.5,277369.0,409.0
2782,B6T0000000204,276960.0,0.0225,21,44,2,1,201.50000000000009,409.00000000000017,277570.5,277778.0,818.0
1899,B6T0000001029,277980.0,0.0451,5,27,2,1,100.00000000000001,206.00000000000003,278080.0,278186.0,206.0
1898,B6T0000001029,277980.0,0.0451,5,27,2,1,100.00000000000001,206.00000000000003,278286.0,278392.0,412.0
