订单号,原材料编号,箱子类型,堆垛机编号,货架号,层(z),列(x),深浅位,到达时刻(s),开始时刻(s),完成时刻(s),操作时间(s),等待时间(s),流动时间(s),是否复合
708,B6T0000000313,E4,1,1,45,3,浅位,19560.0,19785.427692307698,19843.003076923083,57.57538461538464,225.42769230769773,283.0030769230834,否
709,B6T0000000313,E4,1,1,45,3,深位,19560.0,19843.003076923083,19900.57846153847,57.57538461538464,283.0030769230834,340.5784615384691,否
710,B6T0000000313,E4,1,2,45,3,浅位,19560.0,19900.57846153847,19958.153846153855,57.57538461538464,340.5784615384691,398.15384615385483,否
712,B6T0000000313,E4,1,2,45,3,深位,19560.0,19958.153846153855,20015.72923076924,57.57538461538464,398.15384615385483,455.72923076924053,否
741,B6T0000000140,E4,1,1,43,6,浅位,25680.0,25680.0,25735.458461538463,55.45846153846156,0.0,55.45846153846287,否
742,B6T0000000140,E4,1,1,43,6,深位,25680.0,25735.458461538463,25790.916923076926,55.45846153846156,55.45846153846287,110.91692307692574,否
895,B6T0000000488,E3,1,1,13,8,浅位,25680.0,25790.916923076926,25809.938461538462,19.021538461538462,110.91692307692574,129.93846153846243,否
897,B6T0000000488,E3,1,1,13,8,深位,25680.0,25809.938461538462,25828.96,19.021538461538462,129.93846153846243,148.95999999999913,否
898,B6T0000000488,E3,1,2,13,8,浅位,25680.0,25828.96,25847.981538461536,19.021538461538462,148.95999999999913,167.98153846153582,否
896,B6T0000000488,E3,1,2,13,8,深位,25680.0,25847.981538461536,25867.003076923073,19.021538461538462,167.98153846153582,187.0030769230725,否
750,B6T0000000140,E4,1,1,46,2,浅位,25680.0,26481.821538461554,26540.6153846154,58.79384615384618,801.8215384615542,860.6153846154011,否
749,B6T0000000140,E4,1,1,46,2,深位,25680.0,26540.6153846154,26599.409230769248,58.79384615384618,860.6153846154011,919.4092307692481,否
747,B6T0000000140,E4,1,2,46,2,浅位,25680.0,26599.409230769248,26658.203076923095,58.79384615384618,919.4092307692481,978.2030769230951,否
733,B6T0000000140,E4,1,2,46,2,深位,25680.0,26658.203076923095,26716.996923076942,58.79384615384618,978.2030769230951,1036.996923076942,否
3059,B6T0000001131,E3,1,1,17,32,浅位,26820.0,26881.42769230769,26913.052307692305,31.62461538461538,61.42769230769045,93.05230769230548,否
3269,B6T0000001653,E1,1,1,1,40,浅位,33660.0,33660.0,33679.10769230769,19.10769230769231,0.0,19.10769230769074,否
3268,B6T0000001653,E1,1,1,1,40,深位,33660.0,33679.10769230769,33698.21538461538,19.10769230769231,19.10769230769074,38.21538461538148,否
3478,B6T0000000833,E3,1,2,11,52,浅位,37200.0,37200.0,37230.64,30.64,0.0,30.639999999999418,否
3479,B6T0000000833,E3,1,2,11,52,深位,37200.0,37230.64,37261.28,30.64,30.639999999999418,61.279999999998836,否
1970,B6T0000000437,E3,1,2,13,20,浅位,42600.0,42600.0,42622.86153846154,22.861538461538462,0.0,22.861538461540476,否
1971,B6T0000000437,E3,1,2,13,20,深位,42600.0,42622.86153846154,42645.72307692308,22.861538461538462,22.861538461540476,45.72307692308095,否
2100,B6T0000001607,E1,1,1,7,10,浅位,43440.0,43759.16307692307,43772.363076923066,13.2,319.16307692306873,332.3630769230658,否
2099,B6T0000001607,E1,1,1,7,10,深位,43440.0,43772.363076923066,43785.56307692306,13.2,332.3630769230658,345.5630769230629,否
2102,B6T0000001607,E1,1,2,7,10,浅位,43440.0,43785.56307692306,43798.76307692306,13.2,345.5630769230629,358.76307692306,否
2058,B6T0000000120,E4,1,1,45,11,浅位,43980.0,43980.0,44040.13538461539,60.135384615384645,0.0,60.13538461538701,否
2063,B6T0000000120,E4,1,1,45,11,深位,43980.0,44040.13538461539,44100.270769230774,60.135384615384645,60.13538461538701,120.27076923077402,否
2062,B6T0000000120,E4,1,2,45,11,浅位,43980.0,44100.270769230774,44160.40615384616,60.135384615384645,120.27076923077402,180.40615384616103,否
2061,B6T0000000120,E4,1,2,45,11,深位,43980.0,44174.83692307693,44229.421538461545,54.58461538461542,194.83692307693127,249.42153846154542,是
432,B6T0000000678,E3,1,1,9,10,浅位,46320.0,46320.0,46334.73846153846,14.738461538461538,0.0,14.738461538458068,否
431,B6T0000000678,E3,1,1,9,10,深位,46320.0,46334.73846153846,46349.476923076916,14.738461538461538,14.738461538458068,29.476923076916137,否
427,B6T0000000678,E3,1,2,9,10,浅位,51600.0,51600.0,51614.73846153846,14.738461538461538,0.0,14.738461538458068,否
428,B6T0000000678,E3,1,2,9,10,深位,51600.0,51614.73846153846,51629.476923076916,14.738461538461538,14.738461538458068,29.476923076916137,否
2166,B6T0000001771,E1,1,1,5,12,浅位,52020.0,52030.36923076923,52041.378461538465,11.009230769230768,10.369230769232672,21.378461538464762,是
2167,B6T0000001771,E1,1,1,5,12,深位,52020.0,52051.7476923077,52062.75692307693,11.009230769230768,31.747692307697434,42.756923076929525,是
2168,B6T0000001771,E1,1,2,5,12,浅位,52020.0,52081.92615384616,52101.095384615386,19.169230769230772,61.92615384615783,81.09538461538614,是
2165,B6T0000001771,E1,1,2,5,12,深位,52020.0,52120.26461538462,52139.43384615385,19.169230769230772,100.26461538462172,119.43384615385003,是
3301,B6T0000000085,E4,1,1,45,30,浅位,53880.0,53880.0,53946.21538461538,66.21538461538464,0.0,66.21538461538148,否
3300,B6T0000000085,E4,1,1,45,30,深位,53880.0,53946.21538461538,54012.43076923076,66.21538461538464,66.21538461538148,132.43076923076296,否
1938,B6T0000001937,E1,1,1,8,8,浅位,54360.0,54412.64,54425.81538461539,13.175384615384615,52.63999999999942,65.8153846153873,否
1939,B6T0000001937,E1,1,1,8,8,深位,54360.0,54425.81538461539,54438.990769230775,13.175384615384615,65.8153846153873,78.99076923077519,否
1940,B6T0000001937,E1,1,2,8,8,浅位,54360.0,54438.990769230775,54452.16615384616,13.175384615384615,78.99076923077519,92.16615384616307,否
1934,B6T0000001937,E1,1,2,8,8,深位,54360.0,54452.16615384616,54465.34153846155,13.175384615384615,92.16615384616307,105.34153846155095,否
3596,B6T0000000222,E4,1,1,44,42,浅位,55200.0,55200.0,55268.516923076924,68.5169230769231,0.0,68.51692307692429,否
3597,B6T0000000222,E4,1,1,44,42,深位,55200.0,55268.516923076924,55337.03384615385,68.5169230769231,68.51692307692429,137.03384615384857,否
1537,B6T0000000088,E4,1,1,48,4,浅位,55680.0,55795.91384615385,55858.424615384625,62.51076923076926,115.91384615385323,178.4246153846252,否
1536,B6T0000000088,E4,1,1,48,4,深位,55680.0,55858.424615384625,55920.9353846154,62.51076923076926,178.4246153846252,240.9353846153972,否
1535,B6T0000000088,E4,1,2,48,4,浅位,55680.0,55920.9353846154,55983.44615384617,62.51076923076926,240.9353846153972,303.4461538461692,否
1534,B6T0000000088,E4,1,2,48,4,深位,55680.0,55983.44615384617,56045.95692307694,62.51076923076926,303.4461538461692,365.95692307694117,否
3304,B6T0000000643,E3,1,2,40,16,浅位,86340.0,86340.0,86394.81230769231,54.812307692307705,0.0,54.81230769230751,否
3305,B6T0000000643,E3,1,2,40,16,深位,86340.0,86394.81230769231,86449.62461538462,54.812307692307705,54.81230769230751,109.62461538461503,否
1381,B6T0000000104,E4,1,1,43,9,浅位,86820.0,86820.0,86876.41846153846,56.418461538461564,0.0,56.41846153845836,否
1382,B6T0000000104,E4,1,1,43,9,深位,86820.0,86876.41846153846,86932.83692307692,56.418461538461564,56.41846153845836,112.83692307691672,否
1383,B6T0000000104,E4,1,2,43,9,浅位,86820.0,86932.83692307692,86989.25538461538,56.418461538461564,112.83692307691672,169.25538461537508,否
1388,B6T0000000104,E4,1,2,43,9,深位,86820.0,86989.25538461538,87045.67384615383,56.418461538461564,169.25538461537508,225.67384615383344,否
3528,B6T0000000262,E4,1,1,45,39,浅位,86880.0,87045.67384615383,87114.76923076922,69.09538461538465,165.67384615383344,234.76923076921958,否
3048,B6T0000000848,E3,1,1,9,40,浅位,87060.0,87114.76923076922,87139.10769230768,24.338461538461537,54.769230769219575,79.10769230767619,否
635,B6T0000000469,E3,1,1,9,11,浅位,87120.0,87139.10769230768,87154.16615384613,15.058461538461538,19.10769230767619,34.166153846133966,否
634,B6T0000000469,E3,1,1,9,11,深位,87120.0,87154.16615384613,87169.22461538459,15.058461538461538,34.166153846133966,49.22461538459174,否
633,B6T0000000469,E3,1,2,9,11,浅位,87120.0,87169.22461538459,87184.28307692305,15.058461538461538,49.22461538459174,64.28307692304952,否
638,B6T0000000469,E3,1,2,9,11,深位,87120.0,87184.28307692305,87199.34153846151,15.058461538461538,64.28307692304952,79.3415384615073,否
3046,B6T0000000848,E3,1,1,9,40,深位,87060.0,87199.34153846151,87223.67999999996,24.338461538461537,139.3415384615073,163.6799999999639,否
3047,B6T0000000848,E3,1,2,9,40,浅位,87060.0,87223.67999999996,87248.01846153842,24.338461538461537,163.6799999999639,188.01846153842052,否
3529,B6T0000000262,E4,1,1,45,39,深位,86880.0,87248.01846153842,87317.1138461538,69.09538461538465,368.0184615384205,437.11384615380666,否
2436,B6T0000001589,E1,1,2,2,18,浅位,87720.0,87720.0,87732.68307692307,12.683076923076923,0.0,12.683076923072804,否
2439,B6T0000001589,E1,1,2,2,18,深位,87720.0,87732.68307692307,87745.36615384615,12.683076923076923,12.683076923072804,25.366153846145608,否
2161,B6T0000001774,E1,1,2,3,13,浅位,87840.0,87840.0,87851.69846153846,11.698461538461538,0.0,11.698461538457195,否
2160,B6T0000001774,E1,1,2,3,13,深位,87840.0,87851.69846153846,87863.39692307691,11.698461538461538,11.698461538457195,23.39692307691439,否
117,B6T0000000154,E4,1,1,43,3,浅位,87960.0,87960.0,88014.49846153846,54.49846153846156,0.0,54.498461538460106,否
110,B6T0000000154,E4,1,1,43,3,深位,87960.0,88014.49846153846,88068.99692307692,54.49846153846156,54.498461538460106,108.99692307692021,否
113,B6T0000000154,E4,1,2,43,3,浅位,87960.0,88068.99692307692,88123.49538461538,54.49846153846156,108.99692307692021,163.49538461538032,否
111,B6T0000000154,E4,1,2,43,3,深位,87960.0,88123.49538461538,88177.99384615384,54.49846153846156,163.49538461538032,217.99384615384042,否
188,B6T0000000932,E3,1,1,9,8,浅位,88140.0,88177.99384615384,88192.0923076923,14.098461538461537,37.99384615384042,52.09230769230635,否
1687,B6T0000001375,E1,1,1,2,9,浅位,88320.0,88320.0,88329.80307692308,9.803076923076922,0.0,9.803076923082699,否
1696,B6T0000001375,E1,1,1,2,9,深位,88320.0,88329.80307692308,88339.60615384617,9.803076923076922,9.803076923082699,19.606153846165398,否
1688,B6T0000001375,E1,1,2,2,9,浅位,88320.0,88339.60615384617,88349.40923076925,9.803076923076922,19.606153846165398,29.409230769248097,否
1695,B6T0000001375,E1,1,2,2,9,深位,88320.0,88349.40923076925,88359.21230769233,9.803076923076922,29.409230769248097,39.212307692330796,否
469,B6T0000001382,E1,1,1,2,4,浅位,88620.0,88620.0,88628.20307692308,8.203076923076923,0.0,8.203076923076878,否
800,B6T0000000540,E3,1,1,9,12,浅位,88620.0,88628.20307692308,88643.58153846154,15.378461538461538,8.203076923076878,23.58153846154164,否
801,B6T0000000540,E3,1,1,9,12,深位,88620.0,88643.58153846154,88658.96,15.378461538461538,23.58153846154164,38.9600000000064,否
802,B6T0000000540,E3,1,2,9,12,浅位,88620.0,88658.96,88674.33846153847,15.378461538461538,38.9600000000064,54.338461538471165,否
799,B6T0000000540,E3,1,2,9,12,深位,88620.0,88674.33846153847,88689.71692307694,15.378461538461538,54.338461538471165,69.71692307693593,否
399,B6T0000000471,E3,1,1,17,1,浅位,88740.0,88891.01538461538,88916.03076923077,25.015384615384615,151.0153846153844,176.03076923076878,是
395,B6T0000000471,E3,1,1,17,1,深位,88740.0,88929.88307692307,88943.73538461537,13.852307692307692,189.8830769230699,203.735384615371,是
396,B6T0000000471,E3,1,2,17,1,浅位,88740.0,88957.58769230769,88971.43999999999,13.852307692307692,217.58769230768667,231.43999999998778,是
397,B6T0000000471,E3,1,2,17,1,深位,88740.0,88985.2923076923,88999.1446153846,13.852307692307692,245.29230769230344,259.14461538460455,是
181,B6T0000000932,E3,1,1,9,8,深位,89040.0,89060.35692307692,89075.52615384615,15.169230769230769,20.356923076920793,35.5261538461491,是
180,B6T0000000932,E3,1,2,9,8,浅位,89040.0,89085.57538461538,89095.62461538462,10.049230769230768,45.57538461538206,55.624615384615026,是
179,B6T0000000932,E3,1,2,9,8,深位,89040.0,89105.67384615385,89115.72307692308,10.049230769230768,65.67384615384799,75.72307692308095,是
2130,B6T0000000727,E3,1,1,17,18,浅位,89040.0,89125.77230769231,89148.8676923077,23.095384615384617,85.77230769231392,108.86769230770005,是
2132,B6T0000000727,E3,1,1,17,18,深位,89040.0,89165.44,89182.0123076923,16.572307692307692,125.44000000000233,142.0123076923046,是
2127,B6T0000000727,E3,1,2,17,18,浅位,89040.0,89198.58461538462,89215.15692307692,16.572307692307692,158.58461538462143,175.1569230769237,是
2128,B6T0000000727,E3,1,2,17,18,深位,89040.0,89231.72923076924,89248.30153846154,16.572307692307692,191.72923076924053,208.3015384615428,是
2950,B6T0000001640,E1,1,1,7,26,浅位,89280.0,89361.29846153848,89380.92307692309,19.624615384615385,81.29846153847757,100.9230769230926,是
2986,B6T0000001732,E1,1,2,5,28,浅位,89520.0,89566.96615384617,89586.61538461539,19.64923076923077,46.96615384616598,66.61538461539021,是
2988,B6T0000001732,E1,1,2,5,28,深位,89520.0,89606.3753846154,89626.1353846154,19.76,86.37538461539953,106.13538461539429,是
2022,B6T0000000073,E4,1,1,43,13,浅位,92040.0,92040.0,92097.69846153846,57.69846153846156,0.0,57.698461538457195,否
2023,B6T0000000073,E4,1,1,43,13,深位,92040.0,92097.69846153846,92155.39692307691,57.69846153846156,57.698461538457195,115.39692307691439,否
2024,B6T0000000073,E4,1,2,43,13,浅位,92040.0,92155.39692307691,92213.09538461537,57.69846153846156,115.39692307691439,173.0953846153716,否
2026,B6T0000000073,E4,1,2,43,13,深位,92040.0,92213.09538461537,92270.79384615383,57.69846153846156,173.0953846153716,230.79384615382878,否
3406,B6T0000000663,E3,1,1,31,29,浅位,92580.0,92580.0,92627.89538461539,47.89538461538463,0.0,47.89538461538905,否
3407,B6T0000000663,E3,1,1,31,29,深位,92580.0,92627.89538461539,92675.79076923078,47.89538461538463,47.89538461538905,95.7907692307781,否
3086,B6T0000001251,E3,1,1,9,41,浅位,93900.0,93900.0,93924.65846153846,24.658461538461538,0.0,24.658461538463598,否
3085,B6T0000001251,E3,1,1,9,41,深位,93900.0,93924.65846153846,93949.31692307693,24.658461538461538,24.658461538463598,49.316923076927196,否
3087,B6T0000001251,E3,1,2,9,41,浅位,93900.0,93949.31692307693,93973.97538461539,24.658461538461538,49.316923076927196,73.9753846153908,否
1316,B6T0000000836,E3,1,1,12,14,浅位,97740.0,97740.0,97759.71076923078,19.71076923076923,0.0,19.71076923077635,否
1315,B6T0000000836,E3,1,1,12,14,深位,97740.0,97759.71076923078,97779.42153846155,19.71076923076923,19.71076923077635,39.4215384615527,否
1314,B6T0000000836,E3,1,2,12,14,浅位,97740.0,97779.42153846155,97799.13230769233,19.71076923076923,39.4215384615527,59.13230769232905,否
1308,B6T0000000836,E3,1,2,12,14,深位,97740.0,97799.13230769233,97818.8430769231,19.71076923076923,59.13230769232905,78.8430769231054,否
2928,B6T0000000048,E4,1,1,47,19,浅位,100620.0,100620.0,100685.77230769231,65.77230769230772,0.0,65.77230769231392,否
2927,B6T0000000048,E4,1,1,47,19,深位,100620.0,100685.77230769231,100751.54461538463,65.77230769230772,65.77230769231392,131.54461538462783,否
2926,B6T0000000048,E4,1,2,47,19,浅位,100620.0,100751.54461538463,100817.31692307694,65.77230769230772,131.54461538462783,197.31692307694175,否
3573,B6T0000001960,E1,1,1,1,52,浅位,105720.0,105769.25846153841,105818.8738461538,49.61538461538463,49.25846153841121,98.87384615380142,是
3572,B6T0000001960,E1,1,1,1,52,深位,105720.0,105853.12923076918,105902.74461538457,49.61538461538463,133.1292307691765,182.7446153845667,是
933,B6T0000000508,E3,1,1,9,13,浅位,106200.0,106200.0,106215.69846153846,15.698461538461537,0.0,15.698461538457195,否
934,B6T0000000508,E3,1,1,9,13,深位,106200.0,106215.69846153846,106231.39692307691,15.698461538461537,15.698461538457195,31.39692307691439,否
935,B6T0000000508,E3,1,2,9,13,浅位,106200.0,106231.39692307691,106247.09538461537,15.698461538461537,31.39692307691439,47.095384615371586,否
1060,B6T0000001185,E3,1,1,20,3,浅位,106380.0,106480.50461538462,106506.54153846155,26.03692307692308,100.50461538461968,126.54153846154804,否
1061,B6T0000001185,E3,1,1,20,3,深位,106380.0,106506.54153846155,106532.57846153848,26.03692307692308,126.54153846154804,152.5784615384764,否
1062,B6T0000001185,E3,1,2,20,3,浅位,106380.0,106532.57846153848,106558.6153846154,26.03692307692308,152.5784615384764,178.61538461540476,否
1063,B6T0000001185,E3,1,2,20,3,深位,106380.0,106558.6153846154,106584.65230769233,26.03692307692308,178.61538461540476,204.65230769233312,否
3715,B6T0000001576,E1,1,1,4,56,浅位,107220.0,107220.0,107246.07384615384,26.073846153846155,0.0,26.07384615384217,否
3714,B6T0000001576,E1,1,1,4,56,深位,107220.0,107246.07384615384,107272.14769230768,26.073846153846155,26.07384615384217,52.14769230768434,否
2629,B6T0000000942,E3,1,1,17,25,浅位,108420.0,108476.9476923077,108506.33230769231,29.384615384615383,56.9476923077018,86.33230769231159,否
2630,B6T0000000942,E3,1,1,17,25,深位,108420.0,108506.33230769231,108535.71692307692,29.384615384615383,86.33230769231159,115.71692307692138,否
2961,B6T0000001529,E1,1,2,4,28,浅位,110700.0,110700.0,110717.11384615385,17.113846153846154,0.0,17.113846153850318,否
2959,B6T0000001529,E1,1,2,4,28,深位,110700.0,110717.11384615385,110734.2276923077,17.113846153846154,17.113846153850318,34.227692307700636,否
2574,B6T0000000647,E3,1,1,15,26,浅位,111780.0,111885.32923076925,111912.57230769232,27.24307692307692,105.32923076924635,132.57230769231683,否
563,B6T0000001238,E3,1,1,16,3,深位,113640.0,113640.0,113661.11384615385,21.113846153846154,0.0,21.113846153850318,否
562,B6T0000001238,E3,1,2,16,3,浅位,113640.0,113661.11384615385,113682.2276923077,21.113846153846154,21.113846153850318,42.227692307700636,否
560,B6T0000001238,E3,1,2,16,3,深位,113640.0,113682.2276923077,113703.34153846155,21.113846153846154,42.227692307700636,63.341538461550954,否
45,B6T0000001104,E3,1,1,9,4,浅位,123780.0,123780.0,123792.81846153847,12.818461538461538,0.0,12.81846153846709,否
44,B6T0000001104,E3,1,1,9,4,深位,123780.0,123792.81846153847,123805.63692307693,12.818461538461538,12.81846153846709,25.63692307693418,否
43,B6T0000001104,E3,1,2,9,4,浅位,123780.0,123805.63692307693,123818.4553846154,12.818461538461538,25.63692307693418,38.45538461540127,否
46,B6T0000001104,E3,1,2,9,4,深位,123780.0,123818.4553846154,123831.27384615387,12.818461538461538,38.45538461540127,51.27384615386836,否
1582,B6T0000001102,E3,1,2,13,20,浅位,127860.0,127860.0,127882.86153846154,22.861538461538462,0.0,22.861538461540476,否
1580,B6T0000001102,E3,1,2,13,20,深位,127860.0,127882.86153846154,127905.72307692308,22.861538461538462,22.861538461540476,45.72307692308095,否
1583,B6T0000001102,E3,1,2,9,45,浅位,127860.0,127905.72307692308,127931.66153846154,25.93846153846154,45.72307692308095,71.66153846154339,否
1584,B6T0000001102,E3,1,1,11,45,深位,127860.0,127931.66153846154,127960.06153846154,28.4,71.66153846154339,100.06153846153757,否
1579,B6T0000001102,E3,1,2,22,6,深位,127860.0,127960.06153846154,127989.52,29.458461538461545,100.06153846153757,129.52000000000407,否
1585,B6T0000001102,E3,1,2,11,52,浅位,127860.0,127989.52,128020.16,30.64,129.52000000000407,160.1600000000035,否
1586,B6T0000001102,E3,1,2,11,52,深位,127860.0,128020.16,128050.8,30.64,160.1600000000035,190.8000000000029,否
1587,B6T0000001102,E3,1,1,17,32,浅位,127860.0,128050.8,128082.42461538462,31.62461538461538,190.8000000000029,222.42461538461794,否
1588,B6T0000001102,E3,1,1,9,64,浅位,127860.0,128082.42461538462,128114.44307692308,32.01846153846154,222.42461538461794,254.44307692308212,否
1581,B6T0000001102,E3,1,1,9,64,深位,127860.0,128114.44307692308,128146.46153846155,32.01846153846154,254.44307692308212,286.4615384615463,否
1578,B6T0000001102,E3,1,2,9,64,浅位,127860.0,128146.46153846155,128178.48000000001,32.01846153846154,286.4615384615463,318.4800000000105,否
3579,B6T0000000206,E4,1,1,46,39,浅位,127980.0,128178.48000000001,128249.11384615385,70.63384615384618,198.48000000001048,269.1138461538503,否
3578,B6T0000000206,E4,1,1,46,39,深位,127980.0,128249.11384615385,128319.74769230769,70.63384615384618,269.1138461538503,339.74769230769016,否
3522,B6T0000001764,E1,1,1,8,46,浅位,128640.0,128640.0,128665.33538461539,25.33538461538462,0.0,25.335384615391376,否
3523,B6T0000001764,E1,1,1,8,46,深位,128640.0,128665.33538461539,128690.67076923078,25.33538461538462,25.335384615391376,50.67076923078275,否
1046,B6T0000001052,E3,1,1,18,5,浅位,130740.0,130926.43692307698,130950.65230769236,24.215384615384618,186.43692307698075,210.65230769236223,否
1033,B6T0000001052,E3,1,1,18,5,深位,130740.0,130950.65230769236,130974.86769230774,24.215384615384618,210.65230769236223,234.8676923077437,否
1034,B6T0000001052,E3,1,2,18,5,浅位,130740.0,130974.86769230774,130999.08307692313,24.215384615384618,234.8676923077437,259.0830769231252,否
1035,B6T0000001052,E3,1,2,18,5,深位,130740.0,130999.08307692313,131023.2984615385,24.215384615384618,259.0830769231252,283.2984615385067,否
3333,B6T0000000143,E4,1,1,43,34,浅位,131700.0,131700.0,131764.41846153847,64.41846153846157,0.0,64.41846153847291,否
3332,B6T0000000143,E4,1,1,43,34,深位,131700.0,131764.41846153847,131828.83692307695,64.41846153846157,64.41846153847291,128.83692307694582,否
2523,B6T0000001186,E3,1,1,31,9,浅位,136200.0,136281.1692307692,136322.6646153846,41.49538461538463,81.16923076921375,122.66461538459407,否
2524,B6T0000001186,E3,1,1,31,9,深位,136200.0,136322.6646153846,136364.15999999997,41.49538461538463,122.66461538459407,164.1599999999744,否
2520,B6T0000001186,E3,1,2,31,9,浅位,136200.0,136364.15999999997,136405.65538461535,41.49538461538463,164.1599999999744,205.6553846153547,否
2751,B6T0000001729,E1,1,1,2,25,浅位,136560.0,136560.0,136574.92307692306,14.923076923076923,0.0,14.92307692306349,否
2750,B6T0000001729,E1,1,1,2,25,深位,136560.0,136574.92307692306,136589.84615384613,14.923076923076923,14.92307692306349,29.84615384612698,否
2749,B6T0000001729,E1,1,2,2,25,浅位,136560.0,136589.84615384613,136604.7692307692,14.923076923076923,29.84615384612698,44.76923076919047,否
2748,B6T0000001729,E1,1,2,2,25,深位,136560.0,136604.7692307692,136619.69230769225,14.923076923076923,44.76923076919047,59.69230769225396,否
2882,B6T0000001470,E1,1,1,1,28,浅位,138360.0,138360.0,138375.26769230768,15.26769230769231,0.0,15.267692307679681,否
2883,B6T0000001470,E1,1,1,1,28,深位,138360.0,138375.26769230768,138390.53538461536,15.26769230769231,15.267692307679681,30.535384615359362,否
2880,B6T0000001470,E1,1,2,1,28,浅位,138360.0,138390.53538461536,138405.80307692304,15.26769230769231,30.535384615359362,45.80307692303904,否
2881,B6T0000001470,E1,1,2,1,28,深位,138360.0,138405.80307692304,138421.07076923072,15.26769230769231,45.80307692303904,61.070769230718724,否
2840,B6T0000001351,E1,1,1,6,25,浅位,139980.0,139980.0,139997.38461538462,17.384615384615387,0.0,17.38461538462434,否
2841,B6T0000001351,E1,1,1,6,25,深位,139980.0,139997.38461538462,140014.76923076925,17.384615384615387,17.38461538462434,34.76923076924868,否
2842,B6T0000001351,E1,1,2,6,25,浅位,139980.0,140014.76923076925,140032.15384615387,17.384615384615387,34.76923076924868,52.15384615387302,否
2843,B6T0000001351,E1,1,2,6,25,深位,139980.0,140032.15384615387,140049.5384615385,17.384615384615387,52.15384615387302,69.53846153849736,否
2638,B6T0000001516,E1,1,1,1,23,浅位,140160.0,140160.0,140173.6676923077,13.66769230769231,0.0,13.667692307702964,否
557,B6T0000001827,E1,1,1,4,3,浅位,140580.0,140596.40615384618,140605.52000000002,9.113846153846154,16.40615384618286,25.520000000018626,否
556,B6T0000001827,E1,1,1,4,3,深位,140580.0,140605.52000000002,140614.63384615385,9.113846153846154,25.520000000018626,34.63384615385439,否
555,B6T0000001827,E1,1,2,4,3,浅位,140580.0,140614.63384615385,140623.7476923077,9.113846153846154,34.63384615385439,43.74769230769016,否
