货架(y),层(z),列(x),深浅位,原材料编号,箱子类型,物理距离(mm)
1,2,16,深位,B6T0000001471,E1,6700.0
1,2,17,浅位,B6T0000001619,E1,7100.0
1,2,17,深位,B6T0000001619,E1,7100.0
1,2,18,浅位,B6T0000001511,E1,7500.0
1,2,18,深位,B6T0000001511,E1,7500.0
1,2,19,浅位,B6T0000001920,E1,7900.0
1,2,19,深位,B6T0000001920,E1,7900.0
1,2,20,浅位,B6T0000001337,E1,8300.0
1,2,20,深位,B6T0000001337,E1,8300.0
1,2,21,浅位,B6T0000001433,E1,8700.0
1,2,21,深位,B6T0000001433,E1,8700.0
1,2,22,浅位,B6T0000001995,E1,9100.0
1,2,22,深位,B6T0000001995,E1,9100.0
1,2,23,浅位,B6T0000001706,E1,9500.0
1,2,23,深位,B6T0000001706,E1,9500.0
1,2,25,浅位,B6T0000001895,E1,10300.0
1,2,25,深位,B6T0000001895,E1,10300.0
1,2,26,浅位,B6T0000001831,E1,10700.0
1,2,26,深位,B6T0000001831,E1,10700.0
1,2,27,浅位,B6T0000001570,E1,11100.0
1,2,27,深位,B6T0000001570,E1,11100.0
1,2,28,浅位,B6T0000001894,E1,11500.0
1,2,28,深位,B6T0000001894,E1,11500.0
1,2,29,浅位,B6T0000001875,E1,11900.0
1,2,29,深位,B6T0000001875,E1,11900.0
1,2,30,浅位,B6T0000001973,E1,12300.0
1,2,30,深位,B6T0000001973,E1,12300.0
1,2,32,浅位,B6T0000001763,E1,13100.0
1,2,32,深位,B6T0000001763,E1,13100.0
1,2,33,浅位,B6T0000001341,E1,13500.0
1,2,33,深位,B6T0000001341,E1,13500.0
1,2,34,浅位,B6T0000001430,E1,13900.0
1,2,35,浅位,B6T0000001842,E1,14300.0
1,2,35,深位,B6T0000001842,E1,14300.0
1,2,36,浅位,B6T0000001345,E1,14700.0
1,2,36,深位,B6T0000001345,E1,14700.0
1,2,37,浅位,B6T0000001473,E1,15100.0
1,2,37,深位,B6T0000001473,E1,15100.0
1,2,38,浅位,B6T0000001488,E1,15500.0
1,2,38,深位,B6T0000001488,E1,15500.0
1,2,39,浅位,B6T0000001738,E1,15900.0
1,2,39,深位,B6T0000001738,E1,15900.0
1,2,40,浅位,B6T0000001804,E1,16300.0
1,2,40,深位,B6T0000001804,E1,16300.0
1,2,41,浅位,B6T0000001948,E1,16700.0
1,2,41,深位,B6T0000001948,E1,16700.0
1,2,43,浅位,B6T0000001936,E1,17500.0
1,2,43,深位,B6T0000001936,E1,17500.0
1,2,44,浅位,B6T0000001543,E1,17900.0
1,2,44,深位,B6T0000001543,E1,17900.0
1,2,45,浅位,B6T0000001845,E1,18300.0
1,2,45,深位,B6T0000001845,E1,18300.0
1,2,46,浅位,B6T0000001707,E1,18700.0
1,2,46,深位,B6T0000001707,E1,18700.0
1,2,47,浅位,B6T0000001626,E1,19100.0
1,2,47,深位,B6T0000001626,E1,19100.0
1,2,48,浅位,B6T0000001862,E1,19500.0
1,2,48,深位,B6T0000001862,E1,19500.0
1,2,49,浅位,B6T0000001884,E1,19900.0
1,2,49,深位,B6T0000001884,E1,19900.0
1,2,50,浅位,B6T0000001423,E1,20300.0
1,2,50,深位,B6T0000001423,E1,20300.0
1,2,51,浅位,B6T0000001592,E1,20700.0
1,2,51,深位,B6T0000001592,E1,20700.0
1,2,52,浅位,B6T0000001462,E1,21100.0
1,2,52,深位,B6T0000001462,E1,21100.0
1,2,53,浅位,B6T0000001523,E1,21500.0
1,2,53,深位,B6T0000001523,E1,21500.0
1,2,54,浅位,B6T0000001795,E1,21900.0
1,2,54,深位,B6T0000001795,E1,21900.0
1,2,55,浅位,B6T0000001711,E1,22300.0
1,2,55,深位,B6T0000001711,E1,22300.0
1,2,56,浅位,B6T0000001650,E1,22700.0
1,2,56,深位,B6T0000001650,E1,22700.0
1,2,57,浅位,B6T0000001696,E1,23100.0
1,2,57,深位,B6T0000001696,E1,23100.0
1,2,58,浅位,B6T0000001483,E1,23500.0
1,2,58,深位,B6T0000001483,E1,23500.0
1,2,59,浅位,B6T0000001940,E1,23900.0
1,2,59,深位,B6T0000001940,E1,23900.0
1,3,1,浅位,B6T0000001715,E1,900.0
1,3,1,深位,B6T0000001715,E1,900.0
1,3,2,浅位,B6T0000001348,E1,1300.0
1,3,2,深位,B6T0000001348,E1,1300.0
1,3,3,浅位,B6T0000001681,E1,1700.0
1,3,3,深位,B6T0000001681,E1,1700.0
1,3,4,浅位,B6T0000001698,E1,2100.0
1,3,4,深位,B6T0000001698,E1,2100.0
1,3,6,深位,B6T0000001955,E1,2900.0
1,3,6,浅位,B6T0000001955,E1,2900.0
1,3,7,浅位,B6T0000001367,E1,3300.0
1,3,7,深位,B6T0000001367,E1,3300.0
1,3,8,浅位,B6T0000001978,E1,3700.0
1,3,8,深位,B6T0000001978,E1,3700.0
1,3,9,浅位,B6T0000001350,E1,4100.0
1,3,9,深位,B6T0000001350,E1,4100.0
1,3,10,浅位,B6T0000001685,E1,4500.0
1,3,10,深位,B6T0000001685,E1,4500.0
1,3,11,浅位,B6T0000001480,E1,4900.0
1,3,11,深位,B6T0000001480,E1,4900.0
1,3,12,浅位,B6T0000001870,E1,5300.0
1,3,12,深位,B6T0000001870,E1,5300.0
1,3,13,浅位,B6T0000001944,E1,5700.0
1,3,13,深位,B6T0000001516,E1,5700.0
1,3,14,浅位,B6T0000001817,E1,6100.0
1,3,14,深位,B6T0000001817,E1,6100.0
1,3,15,浅位,B6T0000001994,E1,6500.0
1,3,15,深位,B6T0000001994,E1,6500.0
1,3,16,浅位,B6T0000001953,E1,6900.0
1,3,16,深位,B6T0000001953,E1,6900.0
1,3,17,浅位,B6T0000001572,E1,7300.0
1,3,17,深位,B6T0000001572,E1,7300.0
1,3,18,浅位,B6T0000001943,E1,7700.0
1,3,18,深位,B6T0000001943,E1,7700.0
1,3,19,浅位,B6T0000001456,E1,8100.0
1,3,19,深位,B6T0000001456,E1,8100.0
1,3,20,浅位,B6T0000001615,E1,8500.0
1,3,20,深位,B6T0000001615,E1,8500.0
1,3,21,浅位,B6T0000001459,E1,8900.0
1,3,21,深位,B6T0000001459,E1,8900.0
1,3,22,浅位,B6T0000001824,E1,9300.0
1,3,22,深位,B6T0000001824,E1,9300.0
1,3,23,浅位,B6T0000001549,E1,9700.0
1,3,23,深位,B6T0000001549,E1,9700.0
1,3,24,浅位,B6T0000001896,E1,10100.0
1,3,24,深位,B6T0000001896,E1,10100.0
1,3,25,浅位,B6T0000001494,E1,10500.0
1,3,25,深位,B6T0000001494,E1,10500.0
1,3,26,浅位,B6T0000001876,E1,10900.0
1,3,26,深位,B6T0000001876,E1,10900.0
1,3,27,浅位,B6T0000001879,E1,11300.0
1,3,27,深位,B6T0000001879,E1,11300.0
1,3,28,浅位,B6T0000001579,E1,11700.0
1,3,28,深位,B6T0000001579,E1,11700.0
1,3,29,浅位,B6T0000001825,E1,12100.0
1,3,29,深位,B6T0000001825,E1,12100.0
1,3,30,浅位,B6T0000001421,E1,12500.0
1,3,30,深位,B6T0000001421,E1,12500.0
1,3,31,浅位,B6T0000001583,E1,12900.0
1,3,31,深位,B6T0000001583,E1,12900.0
1,3,32,浅位,B6T0000001927,E1,13300.0
1,3,32,深位,B6T0000001927,E1,13300.0
1,3,33,浅位,B6T0000001713,E1,13700.0
1,3,33,深位,B6T0000001713,E1,13700.0
1,3,34,浅位,B6T0000001489,E1,14100.0
1,3,34,深位,B6T0000001489,E1,14100.0
1,3,35,浅位,B6T0000001949,E1,14500.0
1,3,35,深位,B6T0000001949,E1,14500.0
1,3,36,浅位,B6T0000001557,E1,14900.0
1,3,36,深位,B6T0000001557,E1,14900.0
1,3,37,浅位,B6T0000001692,E1,15300.0
1,3,37,深位,B6T0000001692,E1,15300.0
1,3,38,浅位,B6T0000001504,E1,15700.0
1,3,38,深位,B6T0000001504,E1,15700.0
1,3,39,浅位,B6T0000001378,E1,16100.0
1,3,40,浅位,B6T0000001941,E1,16500.0
1,3,40,深位,B6T0000001941,E1,16500.0
1,3,41,浅位,B6T0000001527,E1,16900.0
1,3,41,深位,B6T0000001527,E1,16900.0
1,3,42,浅位,B6T0000001829,E1,17300.0
1,3,42,深位,B6T0000001829,E1,17300.0
1,3,43,浅位,B6T0000001383,E1,17700.0
1,3,43,深位,B6T0000001383,E1,17700.0
1,3,44,浅位,B6T0000001374,E1,18100.0
1,3,44,深位,B6T0000001374,E1,18100.0
1,3,45,浅位,B6T0000001332,E1,18500.0
1,3,45,深位,B6T0000001332,E1,18500.0
1,3,46,浅位,B6T0000001555,E1,18900.0
1,3,46,深位,B6T0000001555,E1,18900.0
1,3,47,浅位,B6T0000001966,E1,19300.0
1,3,47,深位,B6T0000001966,E1,19300.0
1,3,48,浅位,B6T0000001401,E1,19700.0
1,3,48,深位,B6T0000001401,E1,19700.0
1,3,49,浅位,B6T0000001720,E1,20100.0
1,3,49,深位,B6T0000001720,E1,20100.0
1,3,50,浅位,B6T0000001646,E1,20500.0
1,3,50,深位,B6T0000001646,E1,20500.0
1,3,51,浅位,B6T0000001535,E1,20900.0
1,3,51,深位,B6T0000001535,E1,20900.0
1,3,52,浅位,B6T0000001762,E1,21300.0
1,3,52,深位,B6T0000001762,E1,21300.0
1,3,53,浅位,B6T0000001644,E1,21700.0
1,3,53,深位,B6T0000001644,E1,21700.0
1,3,54,浅位,B6T0000001788,E1,22100.0
1,3,54,深位,B6T0000001788,E1,22100.0
1,3,55,浅位,B6T0000001520,E1,22500.0
1,3,55,深位,B6T0000001520,E1,22500.0
1,3,56,浅位,B6T0000001780,E1,22900.0
1,3,56,深位,B6T0000001780,E1,22900.0
1,3,57,浅位,B6T0000001752,E1,23300.0
1,3,57,深位,B6T0000001752,E1,23300.0
1,4,1,浅位,B6T0000001889,E1,1100.0
1,4,1,深位,B6T0000001889,E1,1100.0
1,4,2,浅位,B6T0000001830,E1,1500.0
1,4,2,深位,B6T0000001830,E1,1500.0
1,4,3,浅位,B6T0000001382,E1,1900.0
1,4,3,深位,B6T0000001382,E1,1900.0
1,4,4,浅位,B6T0000001996,E1,2300.0
1,4,4,深位,B6T0000001996,E1,2300.0
1,4,5,浅位,B6T0000001419,E1,2700.0
1,4,5,深位,B6T0000001419,E1,2700.0
1,4,6,浅位,B6T0000001639,E1,3100.0
1,4,6,深位,B6T0000001639,E1,3100.0
1,4,7,浅位,B6T0000001537,E1,3500.0
1,4,7,深位,B6T0000001537,E1,3500.0
1,4,8,浅位,B6T0000001452,E1,3900.0
1,4,8,深位,B6T0000001452,E1,3900.0
1,4,9,浅位,B6T0000001409,E1,4300.0
1,4,9,深位,B6T0000001409,E1,4300.0
1,4,10,浅位,B6T0000001395,E1,4700.0
1,4,10,深位,B6T0000001395,E1,4700.0
1,4,11,浅位,B6T0000001740,E1,5100.0
1,4,11,深位,B6T0000001740,E1,5100.0
1,4,12,浅位,B6T0000001478,E1,5500.0
1,4,12,深位,B6T0000001671,E1,5500.0
1,4,13,浅位,B6T0000001633,E1,5900.0
1,4,13,深位,B6T0000001712,E1,5900.0
1,4,14,浅位,B6T0000001477,E1,6300.0
1,4,14,深位,B6T0000001477,E1,6300.0
1,4,15,浅位,B6T0000001471,E1,6700.0
1,4,15,深位,B6T0000001340,E1,6700.0
1,4,16,浅位,B6T0000001989,E1,7100.0
1,4,16,深位,B6T0000001989,E1,7100.0
1,4,17,浅位,B6T0000001532,E1,7500.0
1,4,18,浅位,B6T0000001679,E1,7900.0
1,4,18,深位,B6T0000001679,E1,7900.0
1,4,19,浅位,B6T0000001793,E1,8300.0
1,4,19,深位,B6T0000001793,E1,8300.0
1,4,20,浅位,B6T0000001404,E1,8700.0
1,4,20,深位,B6T0000001404,E1,8700.0
1,4,21,浅位,B6T0000001461,E1,9100.0
1,4,21,深位,B6T0000001461,E1,9100.0
1,4,22,浅位,B6T0000001428,E1,9500.0
1,4,22,深位,B6T0000001428,E1,9500.0
1,4,23,浅位,B6T0000001568,E1,9900.0
1,4,23,深位,B6T0000001379,E1,9900.0
1,4,24,浅位,B6T0000001992,E1,10300.0
1,4,24,深位,B6T0000001992,E1,10300.0
1,4,25,浅位,B6T0000001660,E1,10700.0
1,4,25,深位,B6T0000001660,E1,10700.0
1,4,26,浅位,B6T0000001832,E1,11100.0
1,4,26,深位,B6T0000001832,E1,11100.0
1,4,27,浅位,B6T0000001656,E1,11500.0
1,4,27,深位,B6T0000001656,E1,11500.0
1,4,28,浅位,B6T0000001875,E1,11900.0
1,4,28,深位,B6T0000001875,E1,11900.0
1,4,29,浅位,B6T0000001500,E1,12300.0
1,4,29,深位,B6T0000001500,E1,12300.0
1,4,30,浅位,B6T0000001691,E1,12700.0
1,4,30,深位,B6T0000001691,E1,12700.0
1,4,31,浅位,B6T0000001757,E1,13100.0
1,4,32,浅位,B6T0000001497,E1,13500.0
1,4,32,深位,B6T0000001497,E1,13500.0
1,4,33,浅位,B6T0000001760,E1,13900.0
1,4,33,深位,B6T0000001760,E1,13900.0
1,4,34,浅位,B6T0000001988,E1,14300.0
1,4,34,深位,B6T0000001988,E1,14300.0
1,4,35,浅位,B6T0000001733,E1,14700.0
1,4,35,深位,B6T0000001733,E1,14700.0
1,4,36,浅位,B6T0000001677,E1,15100.0
1,4,36,深位,B6T0000001677,E1,15100.0
1,4,37,浅位,B6T0000001581,E1,15500.0
1,4,37,深位,B6T0000001581,E1,15500.0
1,4,38,浅位,B6T0000001347,E1,15900.0
1,4,38,深位,B6T0000001347,E1,15900.0
1,4,39,浅位,B6T0000001346,E1,16300.0
1,4,39,深位,B6T0000001346,E1,16300.0
1,4,40,浅位,B6T0000001908,E1,16700.0
1,4,40,深位,B6T0000001908,E1,16700.0
1,4,41,浅位,B6T0000001651,E1,17100.0
1,4,41,深位,B6T0000001651,E1,17100.0
1,4,42,浅位,B6T0000001533,E1,17500.0
1,4,42,深位,B6T0000001533,E1,17500.0
1,4,43,浅位,B6T0000001525,E1,17900.0
1,4,43,深位,B6T0000001525,E1,17900.0
1,4,44,浅位,B6T0000001490,E1,18300.0
1,4,44,深位,B6T0000001490,E1,18300.0
1,4,45,浅位,B6T0000001574,E1,18700.0
1,4,45,深位,B6T0000001574,E1,18700.0
1,4,46,浅位,B6T0000001820,E1,19100.0
1,4,46,深位,B6T0000001820,E1,19100.0
1,4,47,浅位,B6T0000001624,E1,19500.0
1,4,48,浅位,B6T0000001991,E1,19900.0
1,4,48,深位,B6T0000001991,E1,19900.0
1,4,49,浅位,B6T0000001749,E1,20300.0
1,4,49,深位,B6T0000001749,E1,20300.0
1,4,50,浅位,B6T0000001387,E1,20700.0
1,4,51,浅位,B6T0000001758,E1,21100.0
1,4,51,深位,B6T0000001758,E1,21100.0
1,4,52,浅位,B6T0000001523,E1,21500.0
1,4,52,深位,B6T0000001523,E1,21500.0
1,4,54,浅位,B6T0000001711,E1,22300.0
1,4,54,深位,B6T0000001711,E1,22300.0
1,4,55,浅位,B6T0000001826,E1,22700.0
1,4,55,深位,B6T0000001826,E1,22700.0
1,4,57,浅位,B6T0000001743,E1,23500.0
1,4,57,深位,B6T0000001743,E1,23500.0
1,5,1,浅位,B6T0000001424,E1,1300.0
1,5,1,深位,B6T0000001424,E1,1300.0
1,5,2,浅位,B6T0000001711,E1,1700.0
1,5,2,深位,B6T0000001711,E1,1700.0
1,5,3,浅位,B6T0000001756,E1,2100.0
1,5,3,深位,B6T0000001756,E1,2100.0
1,5,4,浅位,B6T0000001865,E1,2500.0
1,5,4,深位,B6T0000001865,E1,2500.0
1,5,5,浅位,B6T0000001686,E1,2900.0
1,5,5,深位,B6T0000001686,E1,2900.0
1,5,6,浅位,B6T0000001367,E1,3300.0
1,5,6,深位,B6T0000001367,E1,3300.0
1,5,7,浅位,B6T0000001610,E1,3700.0
1,5,7,深位,B6T0000001610,E1,3700.0
1,5,8,浅位,B6T0000001327,E1,4100.0
1,5,8,深位,B6T0000001327,E1,4100.0
1,5,9,浅位,B6T0000001558,E1,4500.0
1,5,9,深位,B6T0000001558,E1,4500.0
1,5,10,浅位,B6T0000001870,E1,4900.0
1,5,10,深位,B6T0000001870,E1,4900.0
1,5,11,浅位,B6T0000001892,E1,5300.0
1,5,11,深位,B6T0000001892,E1,5300.0
1,5,12,浅位,B6T0000001358,E1,5700.0
1,5,12,深位,B6T0000001358,E1,5700.0
1,5,13,浅位,B6T0000001774,E1,6100.0
1,5,13,深位,B6T0000001990,E1,6100.0
1,5,14,浅位,B6T0000001817,E1,6500.0
1,5,14,深位,B6T0000001904,E1,6500.0
1,5,15,浅位,B6T0000001874,E1,6900.0
1,5,15,深位,B6T0000001874,E1,6900.0
1,5,16,浅位,B6T0000001594,E1,7300.0
1,5,16,深位,B6T0000001594,E1,7300.0
1,5,17,浅位,B6T0000001437,E1,7700.0
1,5,17,深位,B6T0000001437,E1,7700.0
1,5,18,浅位,B6T0000001456,E1,8100.0
1,5,19,浅位,B6T0000001495,E1,8500.0
1,5,19,深位,B6T0000001495,E1,8500.0
1,5,20,浅位,B6T0000001463,E1,8900.0
1,5,20,深位,B6T0000001463,E1,8900.0
1,5,21,浅位,B6T0000001956,E1,9300.0
1,5,21,深位,B6T0000001956,E1,9300.0
1,5,22,浅位,B6T0000001363,E1,9700.0
1,5,22,深位,B6T0000001363,E1,9700.0
1,5,23,浅位,B6T0000001398,E1,10100.0
1,5,23,深位,B6T0000001398,E1,10100.0
1,5,24,浅位,B6T0000001933,E1,10500.0
1,5,24,深位,B6T0000001933,E1,10500.0
1,5,25,浅位,B6T0000001926,E1,10900.0
1,5,25,深位,B6T0000001926,E1,10900.0
1,5,26,浅位,B6T0000001931,E1,11300.0
1,5,26,深位,B6T0000001931,E1,11300.0
1,5,27,浅位,B6T0000001482,E1,11700.0
1,5,27,深位,B6T0000001482,E1,11700.0
1,5,28,浅位,B6T0000001539,E1,12100.0
1,5,29,浅位,B6T0000001640,E1,12500.0
1,5,29,深位,B6T0000001640,E1,12500.0
1,5,30,浅位,B6T0000001373,E1,12900.0
1,5,30,深位,B6T0000001373,E1,12900.0
1,5,31,浅位,B6T0000001501,E1,13300.0
1,5,31,深位,B6T0000001501,E1,13300.0
1,5,32,浅位,B6T0000001770,E1,13700.0
1,5,32,深位,B6T0000001770,E1,13700.0
1,5,33,浅位,B6T0000001376,E1,14100.0
1,5,33,深位,B6T0000001376,E1,14100.0
1,5,34,浅位,B6T0000001977,E1,14500.0
1,5,34,深位,B6T0000001977,E1,14500.0
1,5,35,浅位,B6T0000001534,E1,14900.0
1,5,35,深位,B6T0000001534,E1,14900.0
1,5,36,浅位,B6T0000001636,E1,15300.0
1,5,36,深位,B6T0000001636,E1,15300.0
1,5,37,浅位,B6T0000001768,E1,15700.0
1,5,37,深位,B6T0000001768,E1,15700.0
1,5,38,浅位,B6T0000001603,E1,16100.0
1,5,38,深位,B6T0000001603,E1,16100.0
1,5,39,浅位,B6T0000001474,E1,16500.0
1,5,39,深位,B6T0000001474,E1,16500.0
1,5,40,浅位,B6T0000001675,E1,16900.0
1,5,40,深位,B6T0000001675,E1,16900.0
1,5,41,浅位,B6T0000001850,E1,17300.0
1,5,41,深位,B6T0000001850,E1,17300.0
1,5,42,浅位,B6T0000001340,E1,17700.0
1,5,42,深位,B6T0000001340,E1,17700.0
1,5,43,浅位,B6T0000001390,E1,18100.0
1,5,43,深位,B6T0000001390,E1,18100.0
1,5,44,浅位,B6T0000001492,E1,18500.0
1,5,44,深位,B6T0000001492,E1,18500.0
1,5,45,浅位,B6T0000001438,E1,18900.0
1,5,45,深位,B6T0000001438,E1,18900.0
1,5,46,浅位,B6T0000001897,E1,19300.0
1,5,46,深位,B6T0000001897,E1,19300.0
1,5,47,浅位,B6T0000001400,E1,19700.0
1,5,47,深位,B6T0000001400,E1,19700.0
1,5,48,浅位,B6T0000001909,E1,20100.0
1,5,48,深位,B6T0000001909,E1,20100.0
1,5,49,浅位,B6T0000001734,E1,20500.0
1,5,49,深位,B6T0000001734,E1,20500.0
1,5,50,浅位,B6T0000001535,E1,20900.0
1,5,50,深位,B6T0000001535,E1,20900.0
1,5,51,浅位,B6T0000001723,E1,21300.0
1,5,51,深位,B6T0000001723,E1,21300.0
1,5,52,浅位,B6T0000001676,E1,21700.0
1,5,52,深位,B6T0000001676,E1,21700.0
1,5,53,浅位,B6T0000001604,E1,22100.0
1,5,53,深位,B6T0000001604,E1,22100.0
1,5,54,浅位,B6T0000001465,E1,22500.0
1,5,55,浅位,B6T0000001970,E1,22900.0
1,5,55,深位,B6T0000001970,E1,22900.0
1,5,56,浅位,B6T0000001901,E1,23300.0
1,5,56,深位,B6T0000001901,E1,23300.0
1,6,1,浅位,B6T0000001466,E1,1500.0
1,6,1,深位,B6T0000001466,E1,1500.0
1,6,2,浅位,B6T0000001382,E1,1900.0
1,6,2,深位,B6T0000001382,E1,1900.0
1,6,3,深位,B6T0000001427,E1,2300.0
1,6,3,浅位,B6T0000001859,E1,2300.0
1,6,4,浅位,B6T0000001455,E1,2700.0
