入库批次,原材料编号,箱子类型,堆垛机编号,货架号,层(z),列(x),深浅位,到达时刻(s),开始时刻(s),完成时刻(s),流动时间(s),是否复合
IN0357,B6T0000001102,E3,1,1,10,63,浅位,44160.0,48568.0,48722.0,4562.0,否
IN0357,B6T0000001102,E3,1,1,10,63,深位,44160.0,48870.0,49024.0,4864.0,否
IN0432,B6T0000001312,E3,1,2,9,65,浅位,44640.0,49172.0,49326.0,4686.0,否
IN0432,B6T0000001312,E3,1,2,9,65,深位,44640.0,49474.0,49628.0,4988.0,否
IN0432,B6T0000001312,E3,1,2,10,63,浅位,44640.0,49776.0,49930.0,5290.0,否
IN0432,B6T0000001312,E3,1,2,10,63,深位,44640.0,50078.0,50232.0,5592.0,否
IN0487,B6T0000001471,E1,1,2,4,10,深位,50280.0,50380.0,50413.0,133.0,否
IN0487,B6T0000001471,E1,1,1,3,13,深位,50280.0,50440.0,50477.0,197.0,否
IN0487,B6T0000001471,E1,1,2,6,10,深位,50280.0,50508.0,50545.0,265.0,否
IN0487,B6T0000001471,E1,1,1,4,12,深位,50280.0,50576.0,50613.0,333.0,否
IN0487,B6T0000001471,E1,1,1,7,10,浅位,50280.0,50644.0,50683.0,403.0,否
IN0487,B6T0000001471,E1,1,1,7,10,深位,50280.0,50716.0,50755.0,475.0,否
IN0487,B6T0000001471,E1,1,2,7,10,浅位,50280.0,50788.0,50827.0,547.0,否
IN0487,B6T0000001471,E1,1,1,4,15,深位,50280.0,50860.0,50903.0,623.0,否
IN0416,B6T0000001271,E3,1,2,9,10,浅位,52020.0,52020.0,52064.0,44.0,是
IN0416,B6T0000001271,E3,1,2,9,10,深位,52020.0,52116.0,52160.0,140.0,是
IN0416,B6T0000001271,E3,1,2,11,61,深位,52020.0,52212.0,52366.0,346.0,是
IN0416,B6T0000001271,E3,1,1,9,66,浅位,52020.0,52520.0,52676.0,656.0,是
IN0416,B6T0000001271,E3,1,1,9,66,深位,52020.0,52832.0,52988.0,968.0,否
IN0416,B6T0000001271,E3,1,1,10,64,浅位,52020.0,53138.0,53294.0,1274.0,否
IN0489,B6T0000001474,E1,1,1,5,12,浅位,53160.0,53444.0,53483.0,323.0,否
IN0489,B6T0000001474,E1,1,1,5,12,深位,53160.0,53516.0,53555.0,395.0,否
IN0489,B6T0000001474,E1,1,2,5,12,浅位,53160.0,53588.0,53627.0,467.0,否
IN0416,B6T0000001271,E3,1,1,10,64,深位,52020.0,53660.0,53816.0,1796.0,否
IN0552,B6T0000001648,E1,1,2,5,12,深位,53760.0,53966.0,54005.0,245.0,是
IN0552,B6T0000001648,E1,1,1,4,17,深位,53760.0,54427.0,54474.0,714.0,是
IN0552,B6T0000001648,E1,1,1,8,14,深位,53760.0,54888.0,54937.0,1177.0,是
IN0552,B6T0000001648,E1,1,1,8,8,浅位,53760.0,54986.0,55023.0,1263.0,是
IN0552,B6T0000001648,E1,1,1,8,8,深位,53760.0,55060.0,55097.0,1337.0,是
IN0552,B6T0000001648,E1,1,2,8,8,浅位,53760.0,55134.0,55171.0,1411.0,是
IN0552,B6T0000001648,E1,1,2,8,8,深位,53760.0,55208.0,55245.0,1485.0,是
IN0552,B6T0000001648,E1,1,1,5,18,深位,53760.0,55707.0,55758.0,1998.0,是
IN0552,B6T0000001648,E1,1,2,6,17,深位,53760.0,56206.0,56257.0,2497.0,否
IN0552,B6T0000001648,E1,1,1,1,23,深位,53760.0,56302.0,56355.0,2595.0,否
IN0552,B6T0000001648,E1,1,1,7,17,浅位,53760.0,56402.0,56455.0,2695.0,否
IN0416,B6T0000001271,E3,1,1,11,62,浅位,52020.0,56502.0,56658.0,4638.0,否
IN0416,B6T0000001271,E3,1,1,11,62,深位,52020.0,56808.0,56964.0,4944.0,否
IN0416,B6T0000001271,E3,1,1,12,60,浅位,52020.0,57114.0,57270.0,5250.0,是
IN0416,B6T0000001271,E3,1,1,12,60,深位,52020.0,57725.0,57881.0,5861.0,是
IN0416,B6T0000001271,E3,1,2,9,66,浅位,52020.0,58336.0,58492.0,6472.0,是
IN0416,B6T0000001271,E3,1,2,9,66,深位,52020.0,58971.0,59127.0,7107.0,是
IN0416,B6T0000001271,E3,1,2,10,64,浅位,52020.0,59606.0,59762.0,7742.0,否
IN0416,B6T0000001271,E3,1,2,10,64,深位,52020.0,59912.0,60068.0,8048.0,否
IN0399,B6T0000001209,E3,1,1,9,8,浅位,88740.0,88745.0,88785.0,45.0,是
IN0399,B6T0000001209,E3,1,1,9,11,浅位,88740.0,88841.0,88887.0,147.0,是
IN0399,B6T0000001209,E3,1,1,9,11,深位,88740.0,88937.0,88983.0,243.0,是
IN0399,B6T0000001209,E3,1,2,9,11,浅位,88740.0,89033.0,89079.0,339.0,是
IN0399,B6T0000001209,E3,1,2,9,11,深位,88740.0,89129.0,89175.0,435.0,是
IN0399,B6T0000001209,E3,1,1,9,8,深位,88740.0,89221.0,89261.0,521.0,是
IN0399,B6T0000001209,E3,1,2,9,8,浅位,88740.0,89301.0,89341.0,601.0,是
IN0399,B6T0000001209,E3,1,2,9,8,深位,88740.0,89381.0,89421.0,681.0,是
IN0399,B6T0000001209,E3,1,1,9,12,浅位,88740.0,89589.0,89637.0,897.0,是
IN0399,B6T0000001209,E3,1,1,9,12,深位,88740.0,89749.0,89797.0,1057.0,是
IN0399,B6T0000001209,E3,1,2,9,12,浅位,88740.0,89909.0,89957.0,1217.0,是
IN0399,B6T0000001209,E3,1,2,9,12,深位,88740.0,90069.0,90117.0,1377.0,是
IN0399,B6T0000001209,E3,1,1,17,1,浅位,88740.0,90229.0,90287.0,1547.0,是
IN0399,B6T0000001209,E3,1,1,17,1,深位,88740.0,90345.0,90403.0,1663.0,是
IN0399,B6T0000001209,E3,1,2,17,1,浅位,88740.0,90569.0,90627.0,1887.0,是
IN0399,B6T0000001209,E3,1,2,17,1,深位,88740.0,90753.0,90811.0,2071.0,是
IN0488,B6T0000001473,E1,1,1,2,4,浅位,90840.0,90937.0,90954.0,114.0,是
IN0488,B6T0000001473,E1,1,1,2,9,浅位,90840.0,91121.0,91148.0,308.0,是
IN0488,B6T0000001473,E1,1,1,2,9,深位,90840.0,91305.0,91332.0,492.0,是
IN0488,B6T0000001473,E1,1,2,2,9,浅位,90840.0,91662.0,91689.0,849.0,是
IN0399,B6T0000001209,E3,1,1,17,18,浅位,88740.0,92019.0,92111.0,3371.0,是
IN0399,B6T0000001209,E3,1,1,17,18,深位,88740.0,92412.0,92504.0,3764.0,是
IN0399,B6T0000001209,E3,1,2,17,18,浅位,88740.0,92805.0,92897.0,4157.0,是
IN0399,B6T0000001209,E3,1,2,17,18,深位,88740.0,93145.0,93237.0,4497.0,是
IN0399,B6T0000001209,E3,1,1,9,40,浅位,88740.0,93485.0,93589.0,4849.0,是
IN0399,B6T0000001209,E3,1,1,9,40,深位,88740.0,93966.0,94070.0,5330.0,是
IN0634,B6T0000001900,E1,1,2,2,9,深位,94080.0,94178.0,94205.0,125.0,是
IN0634,B6T0000001900,E1,1,2,3,13,浅位,94080.0,94390.0,94427.0,347.0,是
IN0634,B6T0000001900,E1,1,2,3,13,深位,94080.0,94602.0,94639.0,559.0,是
IN0634,B6T0000001900,E1,1,2,2,18,浅位,94080.0,94975.0,95020.0,940.0,是
IN0399,B6T0000001209,E3,1,2,9,40,浅位,88740.0,95368.0,95472.0,6732.0,是
IN0399,B6T0000001209,E3,1,1,9,41,浅位,88740.0,95849.0,95955.0,7215.0,是
IN0399,B6T0000001209,E3,1,1,9,41,深位,88740.0,96334.0,96440.0,7700.0,是
IN0399,B6T0000001209,E3,1,2,9,41,浅位,88740.0,96819.0,96925.0,8185.0,是
IN0399,B6T0000001209,E3,1,2,11,62,浅位,88740.0,97304.0,97460.0,8720.0,是
IN0399,B6T0000001209,E3,1,2,11,62,深位,88740.0,97893.0,98049.0,9309.0,是
IN0399,B6T0000001209,E3,1,1,12,14,浅位,88740.0,98213.0,98277.0,9537.0,是
IN0399,B6T0000001209,E3,1,1,12,14,深位,88740.0,98341.0,98405.0,9665.0,是
IN0399,B6T0000001209,E3,1,2,12,14,浅位,88740.0,98469.0,98533.0,9793.0,是
IN0399,B6T0000001209,E3,1,2,12,14,深位,88740.0,98597.0,98661.0,9921.0,是
IN0399,B6T0000001209,E3,1,2,12,60,浅位,88740.0,99094.0,99250.0,10510.0,否
IN0399,B6T0000001209,E3,1,2,12,60,深位,88740.0,99400.0,99556.0,10816.0,否
IN0399,B6T0000001209,E3,1,1,9,67,浅位,88740.0,99706.0,99864.0,11124.0,否
IN0399,B6T0000001209,E3,1,1,9,67,深位,88740.0,100016.0,100174.0,11434.0,否
IN0399,B6T0000001209,E3,1,1,10,65,浅位,88740.0,100326.0,100484.0,11744.0,否
IN0399,B6T0000001209,E3,1,1,10,65,深位,88740.0,100636.0,100794.0,12054.0,是
IN0399,B6T0000001209,E3,1,1,11,63,浅位,88740.0,101257.0,101415.0,12675.0,是
IN0399,B6T0000001209,E3,1,1,11,63,深位,88740.0,101870.0,102028.0,13288.0,是
IN0399,B6T0000001209,E3,1,1,12,61,浅位,88740.0,102483.0,102641.0,13901.0,否
IN0399,B6T0000001209,E3,1,1,12,61,深位,88740.0,102793.0,102951.0,14211.0,否
IN0399,B6T0000001209,E3,1,1,13,59,浅位,88740.0,103103.0,103261.0,14521.0,否
IN0399,B6T0000001209,E3,1,1,13,59,深位,88740.0,103413.0,103571.0,14831.0,否
IN0399,B6T0000001209,E3,1,2,9,67,浅位,88740.0,103723.0,103881.0,15141.0,否
IN0399,B6T0000001209,E3,1,2,9,67,深位,88740.0,104033.0,104191.0,15451.0,否
IN0399,B6T0000001209,E3,1,2,10,65,浅位,88740.0,104343.0,104501.0,15761.0,否
IN0182,B6T0000000536,E3,1,2,10,65,深位,89160.0,104653.0,104811.0,15651.0,否
IN0182,B6T0000000536,E3,1,2,11,63,浅位,89160.0,104963.0,105121.0,15961.0,否
IN0182,B6T0000000536,E3,1,2,11,63,深位,89160.0,105273.0,105431.0,16271.0,否
IN0182,B6T0000000536,E3,1,2,12,61,浅位,89160.0,105583.0,105741.0,16581.0,否
IN0182,B6T0000000536,E3,1,2,12,61,深位,89160.0,105893.0,106051.0,16891.0,是
IN0182,B6T0000000536,E3,1,2,13,59,浅位,89160.0,106209.0,106367.0,17207.0,是
IN0182,B6T0000000536,E3,1,1,9,13,浅位,89160.0,106525.0,106575.0,17415.0,是
IN0182,B6T0000000536,E3,1,1,9,13,深位,89160.0,106625.0,106675.0,17515.0,是
IN0182,B6T0000000536,E3,1,2,9,13,浅位,89160.0,106725.0,106775.0,17615.0,是
IN0182,B6T0000000536,E3,1,2,13,59,深位,89160.0,106981.0,107139.0,17979.0,是
IN0182,B6T0000000536,E3,1,1,20,3,浅位,89160.0,107353.0,107427.0,18267.0,是
IN0182,B6T0000000536,E3,1,1,20,3,深位,89160.0,107501.0,107575.0,18415.0,是
IN0182,B6T0000000536,E3,1,2,20,3,浅位,89160.0,107649.0,107723.0,18563.0,是
IN0547,B6T0000001639,E1,1,2,2,18,深位,104460.0,107797.0,107842.0,3382.0,是
IN0547,B6T0000001639,E1,1,1,4,23,深位,104460.0,108047.0,108106.0,3646.0,是
IN0547,B6T0000001639,E1,1,1,6,21,深位,104460.0,108297.0,108356.0,3896.0,否
IN0547,B6T0000001639,E1,1,2,7,20,深位,104460.0,108409.0,108468.0,4008.0,否
IN0547,B6T0000001639,E1,1,2,6,23,深位,104460.0,108521.0,108584.0,4124.0,否
IN0547,B6T0000001639,E1,1,2,5,27,深位,104460.0,108641.0,108710.0,4250.0,否
IN0547,B6T0000001639,E1,1,2,8,24,深位,104460.0,108773.0,108842.0,4382.0,否
IN0547,B6T0000001639,E1,1,1,5,28,深位,104460.0,108905.0,108976.0,4516.0,是
IN0547,B6T0000001639,E1,1,1,2,31,浅位,104460.0,109129.0,109200.0,4740.0,是
IN0547,B6T0000001639,E1,1,1,2,31,深位,104460.0,109365.0,109436.0,4976.0,否
IN0547,B6T0000001639,E1,1,2,2,31,浅位,104460.0,109501.0,109572.0,5112.0,否
IN0547,B6T0000001639,E1,1,2,5,28,浅位,104460.0,109637.0,109708.0,5248.0,否
IN0547,B6T0000001639,E1,1,2,5,28,深位,104460.0,109773.0,109844.0,5384.0,否
IN0547,B6T0000001639,E1,1,2,5,29,深位,104460.0,109909.0,109982.0,5522.0,否
IN0547,B6T0000001639,E1,1,2,20,3,深位,104460.0,110049.0,110123.0,5663.0,否
IN0547,B6T0000001639,E1,1,1,4,31,深位,104460.0,110191.0,110266.0,5806.0,否
IN0547,B6T0000001639,E1,1,1,2,34,深位,104460.0,110335.0,110412.0,5952.0,否
IN0547,B6T0000001639,E1,1,2,1,35,深位,104460.0,110483.0,110560.0,6100.0,否
IN0547,B6T0000001639,E1,1,2,6,31,深位,104460.0,110631.0,110710.0,6250.0,否
IN0547,B6T0000001639,E1,1,2,5,36,深位,104460.0,110783.0,110870.0,6410.0,是
IN0547,B6T0000001639,E1,1,2,4,28,浅位,104460.0,110957.0,111026.0,6566.0,是
IN0547,B6T0000001639,E1,1,2,4,28,深位,104460.0,111095.0,111164.0,6704.0,否
IN0547,B6T0000001639,E1,1,2,8,33,深位,104460.0,111227.0,111314.0,6854.0,否
IN0547,B6T0000001639,E1,1,1,1,40,浅位,104460.0,111395.0,111482.0,7022.0,否
IN0547,B6T0000001639,E1,1,1,1,40,深位,104460.0,111563.0,111650.0,7190.0,否
IN0547,B6T0000001639,E1,1,1,3,39,深位,104460.0,111731.0,111820.0,7360.0,否
IN0547,B6T0000001639,E1,1,2,7,35,深位,104460.0,111903.0,111992.0,7532.0,否
IN0547,B6T0000001639,E1,1,2,8,34,深位,104460.0,112075.0,112164.0,7704.0,否
IN0483,B6T0000001463,E1,1,1,6,39,深位,106920.0,112247.0,112342.0,5422.0,否
IN0483,B6T0000001463,E1,1,1,8,37,深位,106920.0,112431.0,112526.0,5606.0,否
IN0483,B6T0000001463,E1,1,1,1,44,浅位,106920.0,112615.0,112710.0,5790.0,是
IN0483,B6T0000001463,E1,1,1,1,44,深位,106920.0,112887.0,112982.0,6062.0,否
IN0483,B6T0000001463,E1,1,1,6,41,深位,106920.0,113071.0,113170.0,6250.0,否
IN0628,B6T0000001870,E1,1,2,1,46,深位,107640.0,113263.0,113362.0,5722.0,否
IN0628,B6T0000001870,E1,1,2,3,44,深位,107640.0,113455.0,113554.0,5914.0,否
IN0628,B6T0000001870,E1,1,1,15,26,浅位,107640.0,113647.0,113747.0,6107.0,是
IN0628,B6T0000001870,E1,1,1,16,3,深位,107640.0,113855.0,113913.0,6273.0,是
IN0628,B6T0000001870,E1,1,2,16,3,浅位,107640.0,113971.0,114029.0,6389.0,是
IN0628,B6T0000001870,E1,1,2,16,3,深位,107640.0,114087.0,114145.0,6505.0,否
IN0628,B6T0000001870,E1,1,1,6,42,深位,107640.0,114197.0,114298.0,6658.0,否
IN0628,B6T0000001870,E1,1,1,8,41,深位,107640.0,114393.0,114496.0,6856.0,否
IN0628,B6T0000001870,E1,1,2,2,47,深位,107640.0,114593.0,114696.0,7056.0,否
IN0068,B6T0000000191,E4,1,1,43,3,浅位,104820.0,114793.0,114959.5,10139.5,否
IN0068,B6T0000000191,E4,1,1,43,3,深位,104820.0,115120.0,115286.5,10466.5,否
IN0068,B6T0000000191,E4,1,2,43,3,浅位,104820.0,115447.0,115613.5,10793.5,否
IN0068,B6T0000000191,E4,1,2,43,3,深位,104820.0,115774.0,115940.5,11120.5,否
IN0068,B6T0000000191,E4,1,1,43,9,浅位,104820.0,116101.0,116279.5,11459.5,否
IN0068,B6T0000000191,E4,1,1,43,9,深位,104820.0,116452.0,116630.5,11810.5,否
IN0068,B6T0000000191,E4,1,2,43,9,浅位,104820.0,116803.0,116981.5,12161.5,否
IN0068,B6T0000000191,E4,1,2,43,9,深位,104820.0,117154.0,117332.5,12512.5,否
IN0068,B6T0000000191,E4,1,1,43,13,浅位,104820.0,117505.0,117691.5,12871.5,是
IN0068,B6T0000000191,E4,1,1,43,13,深位,104820.0,117878.0,118064.5,13244.5,是
IN0068,B6T0000000191,E4,1,2,43,13,浅位,104820.0,118251.0,118437.5,13617.5,否
IN0068,B6T0000000191,E4,1,2,43,13,深位,104820.0,118618.0,118804.5,13984.5,否
IN0068,B6T0000000191,E4,1,1,45,11,浅位,104820.0,118985.0,119177.5,14357.5,否
IN0068,B6T0000000191,E4,1,1,45,11,深位,104820.0,119364.0,119556.5,14736.5,否
IN0068,B6T0000000191,E4,1,2,45,11,浅位,104820.0,119743.0,119935.5,15115.5,否
IN0068,B6T0000000191,E4,1,2,45,11,深位,104820.0,120122.0,120314.5,15494.5,否
IN0068,B6T0000000191,E4,1,1,48,4,浅位,104820.0,120501.0,120694.5,15874.5,否
IN0068,B6T0000000191,E4,1,1,48,4,深位,104820.0,120882.0,121075.5,16255.5,否
IN0068,B6T0000000191,E4,1,2,48,4,浅位,104820.0,121263.0,121456.5,16636.5,否
IN0068,B6T0000000191,E4,1,2,48,4,深位,104820.0,121644.0,121837.5,17017.5,否
IN0062,B6T0000000167,E4,1,1,47,19,浅位,105960.0,122025.0,122243.5,16283.5,否
IN0062,B6T0000000167,E4,1,1,47,19,深位,105960.0,122456.0,122674.5,16714.5,是
IN0062,B6T0000000167,E4,1,2,47,19,浅位,105960.0,122893.0,123111.5,17151.5,是
IN0041,B6T0000000119,E4,1,1,45,25,深位,108420.0,123330.0,123550.5,15130.5,否
IN0123,B6T0000000350,E3,1,1,13,8,浅位,123360.0,123765.0,123821.0,461.0,否
IN0123,B6T0000000350,E3,1,1,13,8,深位,123360.0,123871.0,123927.0,567.0,是
IN0123,B6T0000000350,E3,1,1,9,4,浅位,123360.0,123983.0,124015.0,655.0,是
IN0123,B6T0000000350,E3,1,1,9,4,深位,123360.0,124047.0,124079.0,719.0,是
IN0348,B6T0000001080,E3,1,2,9,4,浅位,124080.0,124111.0,124143.0,63.0,是
IN0348,B6T0000001080,E3,1,2,9,4,深位,124080.0,124175.0,124207.0,127.0,否
IN0348,B6T0000001080,E3,1,1,17,25,浅位,124080.0,124233.0,124339.0,259.0,否
IN0348,B6T0000001080,E3,1,1,17,25,深位,124080.0,124439.0,124545.0,465.0,否
IN0348,B6T0000001080,E3,1,1,9,68,浅位,124080.0,124645.0,124805.0,725.0,否
IN0348,B6T0000001080,E3,1,1,9,68,深位,124080.0,124959.0,125119.0,1039.0,否
IN0348,B6T0000001080,E3,1,1,10,66,浅位,124080.0,125273.0,125433.0,1353.0,否
IN0348,B6T0000001080,E3,1,1,10,66,深位,124080.0,125587.0,125747.0,1667.0,否
IN0348,B6T0000001080,E3,1,1,11,64,浅位,124080.0,125901.0,126061.0,1981.0,否
IN0348,B6T0000001080,E3,1,1,11,64,深位,124080.0,126215.0,126375.0,2295.0,否
IN0348,B6T0000001080,E3,1,1,12,62,浅位,124080.0,126529.0,126689.0,2609.0,否
IN0430,B6T0000001308,E3,1,1,12,62,深位,124080.0,126843.0,127003.0,2923.0,否
IN0430,B6T0000001308,E3,1,1,13,60,浅位,124080.0,127157.0,127317.0,3237.0,否
IN0430,B6T0000001308,E3,1,1,13,60,深位,124080.0,127471.0,127631.0,3551.0,否
IN0041,B6T0000000119,E4,1,1,49,16,深位,108420.0,127785.0,128007.5,19587.5,否
IN0041,B6T0000000119,E4,1,1,45,30,浅位,108420.0,128224.0,128454.5,20034.5,是
IN0059,B6T0000000161,E4,1,1,45,30,深位,108840.0,128685.0,128915.5,20075.5,是
IN0059,B6T0000000161,E4,1,1,47,28,深位,108840.0,129146.0,129382.5,20542.5,是
IN0059,B6T0000000161,E4,1,1,50,23,深位,108840.0,129619.0,129860.5,21020.5,是
IN0059,B6T0000000161,E4,1,1,45,39,浅位,108840.0,130102.0,130350.5,21510.5,是
IN0059,B6T0000000161,E4,1,1,45,39,深位,108840.0,130599.0,130847.5,22007.5,是
IN0307,B6T0000000929,E3,1,1,9,10,浅位,130740.0,131124.0,131168.0,428.0,是
IN0307,B6T0000000929,E3,1,2,13,20,浅位,130740.0,131356.0,131436.0,696.0,是
IN0103,B6T0000000292,E4,1,1,44,42,浅位,110760.0,131863.0,132112.5,21352.5,是
IN0103,B6T0000000292,E4,1,1,44,42,深位,110760.0,132362.0,132611.5,21851.5,是
IN0103,B6T0000000292,E4,1,1,46,39,浅位,110760.0,132861.0,133114.5,22354.5,是
IN0103,B6T0000000292,E4,1,1,48,36,深位,110760.0,133368.0,133625.5,22865.5,是
IN0103,B6T0000000292,E4,1,1,43,49,浅位,110760.0,133883.0,134141.5,23381.5,是
IN0103,B6T0000000292,E4,1,1,43,49,深位,110760.0,134400.0,134658.5,23898.5,是
IN0314,B6T0000000942,E3,1,2,15,5,深位,134460.0,134917.0,134975.0,515.0,是
IN0314,B6T0000000942,E3,1,1,18,5,浅位,134460.0,135374.0,135444.0,984.0,是
